Rold,Rnew,RMSE,CVrmse,MAE
0.4812839742954781,0.40390359933255493,0.41965326799411107,782.2953105789585,0.3746102109644443
0.5991167548077033,0.811611791535474,0.21297593464913034,991.3628602505094,0.17833009581850345
0.814519865886823,0.863186733858253,0.20131725719149046,139.71718135569688,0.1596864311591618
0.5335949650622194,0.486255957009756,0.35811566196982336,585.4435977181216,0.2872768985832356
0.5400770218270206,0.5170095126518399,0.35424720773317886,926.6250826162606,0.2860325690573948
0.6068899998042279,0.6750336177063485,0.3931666225793417,255.29535995800578,0.31842296080927435
0.6610871650200414,0.699264871273237,0.34080358896652413,181.52196032252752,0.29990762094900814
0.5726703386333941,0.5617665330731481,0.3504721565498961,646.4551749241517,0.278106091592815
0.5951721508037104,0.6352883830722429,0.3851870230744846,260.4472462611747,0.3304627233824278
0.4553109206902656,0.47333032218461313,0.40328151429859255,292.4435381275604,0.3510647726472462
