Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[45.83171794]
0,0,0,0,0,[30.07018058]
0,0,0,0,0,[23.23049503]
0,0,0,0,0,[24.03630864]
0,0,0,0,0,[31.31499148]
0,0,0,0,0,[32.79320712]
0,0,0,0,0,[84.5359429]
0,0,0,0,0,[67.80925476]
0,0,0,0,0,[49.18121293]
0,0,0,0,0,[41.87593802]
0,0,0,0,0,[37.43819769]
0,0,0,0,0,[63.38952434]
0,0,0,0,0,[22.46891974]
0,0,0,0,0,[56.99203978]
0,0,0,0,0,[7.6226]
0,0,0,0,0,[71.28045954]
0,0,0,0,0,[81.22294939]
0,0,0,0,0,[91.98375242]
0,0,0,0,0,[96.92404846]
0,0,0,0,0,[92.84259579]
0,0,0,0,0,[24.85554957]
0,0,0,0,0,[43.25141928]
0,0,0,0,0,[37.82270909]
0,0,0,0,0,[39.3324044]
0,0,0,0,0,[52.48055906]
0,0,0,0,0,[109.53009085]
0,0,0,0,0,[118.60626497]
0,0,0,0,0,[92.12367482]
0,0,0,0,0,[82.39691388]
0,0,0,0,0,[106.7173073]
0,0,0,0,0,[36.81180259]
0,0,0,0,0,[27.35850662]
0,0,0,0,0,[79.0052657]
0,0,0,0,0,[52.7598821]
0,0,0,0,0,[61.67359439]
0,0,0,0,0,[119.29729612]
0,0,0,0,0,[106.74780503]
0,0,0,0,0,[123.13455249]
0,0,0,0,0,[131.69062351]
0,0,0,0,0,[149.0609707]
