Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
0.003,0.451,0.003,0.003,0.005,0.001,0.005,0.004,0.001,0.005,0.005,0.005,0.005,0.003,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.003,0.005,0.001,0.005,0.003,0.005,0.004,0.005,0.005,0.005,0.004,0.001,0.005,0.005,0.003,0.005,0.003,0.002,0.005,0.003,0.005,0.002,0.003,0.015,0.005,0.003,1.0,0.006,0.006,0.008,0.005,0.002,0.009,0.005,0.004,0.003,0.003,0.017,0.004,0.004,0.005,0.004,0.004,0.005,0.005,0.003,0.003,0.003,0.004,0.0,0.004,0.005,0.004,0.004,0.004,0.003,0.003,0.0
0.016,0.107,0.011,0.01,0.01,0.093,0.011,0.006,0.112,0.011,0.011,0.011,0.011,0.014,0.025,0.031,0.027,0.02,0.011,0.033,0.03,0.041,0.019,0.016,0.01,0.015,0.019,0.085,0.012,0.019,0.01,0.01,0.037,0.019,0.019,0.012,0.01,0.01,0.469,0.037,0.82,0.105,0.032,0.043,0.815,0.019,0.005,1.0,0.104,0.096,0.195,0.052,0.018,0.091,0.007,0.001,0.042,0.024,0.093,0.0,0.007,0.019,0.012,0.004,0.085,0.022,0.006,0.005,0.011,0.011,0.017,0.063,0.018,0.017,0.009,0.009,0.006,0.014,0.01
0.002,0.001,0.001,0.002,0.006,0.016,0.0,0.001,0.017,0.012,0.01,0.009,0.011,0.009,0.016,0.028,0.058,0.012,0.015,0.018,0.069,0.264,0.002,0.015,0.01,0.006,0.002,0.096,0.001,0.002,0.002,0.0,0.052,0.002,0.002,0.002,0.0,0.0,0.781,0.002,0.214,1.0,0.03,0.024,0.017,0.002,0.001,0.02,0.019,0.019,0.014,0.009,0.02,0.0,0.001,0.0,0.011,0.011,0.001,0.0,0.0,0.002,0.001,0.0,0.003,0.002,0.001,0.001,0.002,0.002,0.003,0.011,0.002,0.002,0.001,0.002,0.001,0.003,0.001
0.003,0.002,0.002,0.003,0.005,0.013,0.001,0.001,0.014,0.014,0.011,0.008,0.013,0.013,0.041,0.031,0.141,0.014,0.019,0.045,0.178,0.291,0.002,0.053,0.005,0.006,0.006,0.344,0.002,0.005,0.001,0.011,0.157,0.004,0.005,0.002,0.001,0.001,0.773,0.004,0.291,1.0,0.098,0.063,0.094,0.003,0.001,0.112,0.065,0.072,0.081,0.025,0.047,0.019,0.012,0.005,0.04,0.031,0.02,0.005,0.003,0.006,0.002,0.004,0.015,0.005,0.001,0.0,0.003,0.004,0.003,0.029,0.006,0.004,0.001,0.004,0.001,0.002,0.0
0.001,0.036,0.0,0.0,0.0,0.007,0.0,0.001,0.014,0.0,0.0,0.0,0.0,0.001,0.002,0.012,0.006,0.001,0.001,0.007,0.015,0.105,0.0,0.005,0.0,0.0,0.001,0.353,0.0,0.001,0.0,0.0,0.08,0.001,0.001,0.0,0.0,0.0,1.0,0.008,0.775,0.971,0.013,0.006,0.76,0.0,0.0,0.872,0.114,0.116,0.329,0.004,0.003,0.045,0.001,0.001,0.017,0.003,0.068,0.001,0.0,0.0,0.0,0.002,0.009,0.001,0.0,0.0,0.0,0.0,0.001,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.025,0.01,0.011,0.007,0.019,0.003,0.002,0.021,0.015,0.011,0.011,0.013,0.029,0.046,0.041,0.082,0.03,0.031,0.059,0.092,0.125,0.002,0.047,0.008,0.012,0.003,0.151,0.008,0.003,0.005,0.01,0.104,0.002,0.003,0.002,0.004,0.003,0.989,0.023,1.0,0.886,0.055,0.047,0.216,0.001,0.003,0.257,0.066,0.066,0.099,0.038,0.042,0.027,0.008,0.007,0.044,0.037,0.028,0.008,0.007,0.003,0.003,0.009,0.048,0.017,0.004,0.003,0.003,0.0,0.012,0.04,0.002,0.002,0.006,0.0,0.001,0.009,0.008
0.011,0.242,0.006,0.007,0.009,0.044,0.013,0.008,0.054,0.009,0.011,0.007,0.01,0.003,0.004,0.002,0.003,0.0,0.002,0.008,0.003,0.004,0.013,0.003,0.011,0.009,0.013,0.028,0.011,0.013,0.01,0.007,0.008,0.013,0.013,0.008,0.009,0.006,0.03,0.058,0.043,0.052,0.024,0.031,0.23,0.013,0.007,1.0,0.07,0.072,0.128,0.045,0.024,0.135,0.015,0.027,0.053,0.034,0.457,0.03,0.01,0.013,0.011,0.013,0.051,0.012,0.006,0.004,0.008,0.01,0.011,0.163,0.013,0.011,0.009,0.006,0.005,0.006,0.0
0.047,1.0,0.01,0.008,0.005,0.004,0.005,0.005,0.005,0.005,0.004,0.005,0.004,0.006,0.004,0.004,0.005,0.004,0.005,0.004,0.005,0.005,0.001,0.402,0.005,0.006,0.892,0.008,0.004,0.002,0.006,0.003,0.005,0.002,0.002,0.008,0.004,0.002,0.005,0.001,0.006,0.011,0.011,0.006,0.005,0.0,0.0,0.005,0.006,0.01,0.009,0.009,0.004,0.005,0.008,0.004,0.01,0.008,0.009,0.005,0.008,0.008,0.004,0.004,0.006,0.006,0.003,0.001,0.01,0.003,0.008,0.009,0.008,0.008,0.011,0.005,0.005,0.004,0.002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.004,0.109,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.567,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.136,0.001,0.001,0.001,0.033,0.002,0.0,0.042,0.001,0.001,0.002,0.001,0.003,0.007,0.013,0.005,0.005,0.002,0.012,0.006,0.007,0.003,0.006,0.001,0.002,0.003,0.035,0.002,0.003,0.001,0.001,0.013,0.003,0.003,0.001,0.001,0.001,0.333,0.055,0.148,0.162,0.015,0.014,0.39,0.003,0.0,1.0,0.04,0.042,0.086,0.018,0.008,0.08,0.0,0.0,0.026,0.013,0.151,0.001,0.001,0.003,0.001,0.0,0.02,0.0,0.0,0.0,0.001,0.001,0.005,0.144,0.003,0.003,0.001,0.0,0.0,0.003,0.002
