Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Whole_set
0.148,1.0,0.001,0.0,0.002,0.064,0.005,0.001,0.1,0.004,0.004,0.003,0.004,0.0,0.009,0.008,0.004,0.002,0.001,0.01,0.003,0.001,0.005,0.0,0.003,0.002,0.005,0.004,0.004,0.005,0.003,0.001,0.003,0.005,0.005,0.001,0.002,0.0,0.039,0.001
0.001,0.42,0.0,0.0,0.0,0.343,0.0,0.0,0.513,0.0,0.0,0.0,0.0,0.013,0.011,0.081,0.004,0.039,0.002,0.021,0.004,0.012,0.001,0.01,0.0,0.002,0.001,0.115,0.0,0.001,0.0,0.0,0.005,0.001,0.001,0.0,0.0,0.0,1.0,0.003
0.067,0.036,0.041,0.02,0.049,0.162,0.026,0.049,0.17,0.068,0.063,0.058,0.07,0.04,0.199,0.178,0.444,0.06,0.085,0.186,0.504,0.697,0.062,0.136,0.076,0.051,0.077,0.617,0.02,0.067,0.016,0.065,0.441,0.064,0.065,0.073,0.024,0.039,1.0,0.0
0.02,0.012,0.013,0.009,0.016,0.036,0.014,0.014,0.036,0.026,0.023,0.019,0.027,0.018,0.069,0.041,0.143,0.021,0.032,0.068,0.158,0.201,0.022,0.07,0.019,0.017,0.034,0.405,0.009,0.033,0.007,0.023,0.152,0.027,0.032,0.02,0.009,0.011,1.0,0.0
0.034,0.239,0.034,0.041,0.022,0.168,0.01,0.006,0.199,0.024,0.022,0.027,0.02,0.082,0.063,0.143,0.12,0.097,0.072,0.122,0.141,0.211,0.021,0.132,0.022,0.037,0.031,0.49,0.02,0.03,0.019,0.0,0.197,0.027,0.03,0.014,0.016,0.014,1.0,0.042
0.005,0.108,0.018,0.023,0.004,0.025,0.002,0.001,0.035,0.015,0.009,0.011,0.01,0.08,0.027,0.097,0.121,0.086,0.065,0.076,0.157,0.275,0.004,0.147,0.005,0.027,0.007,0.364,0.006,0.007,0.001,0.003,0.203,0.005,0.007,0.001,0.0,0.0,1.0,0.018
0.092,1.0,0.001,0.0,0.002,0.353,0.006,0.002,0.444,0.002,0.003,0.001,0.002,0.002,0.024,0.028,0.005,0.011,0.006,0.048,0.004,0.003,0.006,0.005,0.003,0.002,0.006,0.178,0.003,0.006,0.002,0.0,0.036,0.006,0.006,0.001,0.001,0.0,0.252,0.002
0.102,1.0,0.013,0.009,0.003,0.002,0.003,0.004,0.003,0.003,0.002,0.003,0.002,0.006,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.003,0.0,0.517,0.003,0.004,0.995,0.01,0.003,0.001,0.004,0.003,0.004,0.0,0.0,0.01,0.002,0.001,0.004,0.0
0.005,0.005,0.005,0.003,0.006,0.002,0.003,0.002,0.002,0.005,0.003,0.005,0.006,0.005,0.0,0.045,0.021,0.002,0.006,0.001,0.043,0.363,0.005,0.005,0.028,0.01,0.005,0.024,0.005,0.005,0.003,0.0,0.001,0.005,0.005,0.005,0.005,0.005,1.0,0.002
0.045,1.0,0.004,0.004,0.002,0.29,0.007,0.004,0.39,0.002,0.001,0.004,0.003,0.017,0.042,0.07,0.025,0.029,0.014,0.07,0.025,0.029,0.01,0.031,0.002,0.005,0.01,0.257,0.003,0.01,0.001,0.0,0.079,0.01,0.01,0.002,0.002,0.001,0.852,0.01
