Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH31,Red_BBCH31,RedEdge_BBCH31,NIR_BBCH31,DVI_BBCH31,NDVI_BBCH31,RVI_BBCH31,mSR_BBCH31,TNDVI_BBCH31,RDVI_BBCH31,SAVI_BBCH31,OSAVI_BBCH31,MSAVI2_BBCH31,gDVI_BBCH31,gNDVI_BBCH31,gRDVI_BBCH31,mSR_G_BBCH31,GSAVI_BBCH31,MGSAVI_BBCH31,NGI_BBCH31,GWDRVI_BBCH31,CI_G_BBCH31,CI_RE_BBCH31,TCARI_BBCH31,MCARI1_BBCH31,MCARI2_BBCH31,MTCARI_BBCH31,TCARIOSAVI_BBCH31,REDVI_BBCH31,NDRE_BBCH31,RERDVI_BBCH31,NNIR_BBCH31,REGNDVI_BBCH31,REWDRVI_BBCH31,MSR_RE_BBCH31,MEVI_BBCH31,RESAVI_BBCH31,MRESAVI_BBCH31,MRETVI_BBCH31,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
0.001,0.39,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.009,0.001,0.001,0.0,0.001,0.054,0.001,0.001,1.0,0.002,0.002,0.003,0.001,0.001,0.014,0.001,0.001,0.001,0.001,0.068,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.0,0.001,0.0,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.0
0.011,0.114,0.003,0.002,0.003,0.088,0.005,0.003,0.106,0.004,0.004,0.003,0.005,0.005,0.016,0.022,0.018,0.009,0.003,0.023,0.021,0.031,0.013,0.009,0.003,0.005,0.013,0.081,0.005,0.013,0.002,0.004,0.028,0.013,0.013,0.005,0.003,0.003,0.407,0.088,0.063,0.039,0.012,0.012,0.012,0.003,0.004,0.014,0.013,0.01,0.009,0.003,0.002,0.013,0.006,0.009,0.005,0.011,0.01,0.014,0.041,0.003,0.153,0.004,0.013,0.243,0.026,0.007,0.012,0.013,0.004,0.002,0.003,0.005,0.011,0.013,0.012,0.195,0.036,0.787,0.096,0.031,0.046,0.82,0.013,0.006,1.0,0.117,0.107,0.218,0.06,0.02,0.102,0.005,0.001,0.042,0.024,0.1,0.002,0.001,0.012,0.006,0.013,0.102,0.024,0.002,0.005,0.004,0.009,0.01,0.065,0.012,0.01,0.002,0.008,0.005,0.005,0.0
0.373,0.246,0.268,0.118,0.166,0.354,0.268,0.285,0.355,0.134,0.151,0.146,0.151,0.03,0.317,0.109,0.362,0.055,0.095,0.211,0.372,0.421,0.374,0.182,0.199,0.19,0.407,0.501,0.167,0.388,0.111,0.254,0.435,0.381,0.384,0.395,0.195,0.279,0.58,0.394,0.326,0.464,0.515,0.422,0.261,0.387,0.253,0.273,0.278,0.272,0.213,0.255,0.369,0.329,0.469,0.392,0.322,0.359,0.342,0.418,0.589,0.416,1.0,0.322,0.378,0.225,0.518,0.163,0.4,0.396,0.18,0.328,0.399,0.406,0.261,0.384,0.274,0.441,0.1,0.0,0.721,0.266,0.337,0.109,0.401,0.361,0.142,0.328,0.34,0.349,0.319,0.353,0.31,0.281,0.255,0.225,0.198,0.258,0.25,0.206,0.407,0.33,0.369,0.313,0.402,0.235,0.318,0.406,0.403,0.137,0.269,0.407,0.407,0.278,0.406,0.37,0.165,0.091
0.08,0.042,0.051,0.023,0.05,0.126,0.064,0.063,0.122,0.07,0.064,0.06,0.074,0.019,0.164,0.067,0.296,0.03,0.059,0.135,0.32,0.39,0.096,0.121,0.071,0.058,0.137,0.468,0.032,0.134,0.031,0.065,0.315,0.114,0.13,0.087,0.041,0.053,0.64,0.484,0.192,0.178,0.21,0.123,0.059,0.171,0.07,0.059,0.089,0.065,0.062,0.051,0.121,0.112,0.323,0.295,0.122,0.169,0.105,0.346,0.549,0.122,1.0,0.174,0.119,0.221,0.481,0.058,0.131,0.123,0.056,0.151,0.106,0.111,0.078,0.128,0.062,0.427,0.018,0.168,0.815,0.2,0.193,0.095,0.101,0.074,0.114,0.19,0.205,0.211,0.146,0.199,0.121,0.086,0.056,0.142,0.113,0.113,0.055,0.039,0.141,0.076,0.106,0.118,0.128,0.051,0.061,0.1,0.112,0.03,0.135,0.136,0.12,0.058,0.113,0.076,0.052,0.0
0.008,0.067,0.005,0.006,0.003,0.052,0.002,0.003,0.059,0.006,0.003,0.005,0.004,0.018,0.036,0.038,0.059,0.024,0.02,0.05,0.066,0.093,0.005,0.036,0.004,0.006,0.009,0.254,0.003,0.008,0.002,0.004,0.087,0.007,0.008,0.001,0.001,0.001,0.921,0.256,0.057,0.066,0.027,0.002,0.005,0.005,0.005,0.006,0.006,0.002,0.002,0.003,0.002,0.002,0.035,0.035,0.0,0.007,0.0,0.05,0.105,0.01,0.739,0.017,0.005,0.273,0.081,0.015,0.006,0.004,0.004,0.007,0.008,0.007,0.017,0.008,0.001,0.344,0.027,0.615,0.833,0.068,0.067,0.643,0.002,0.003,1.0,0.13,0.13,0.28,0.068,0.055,0.1,0.014,0.012,0.074,0.055,0.109,0.014,0.0,0.006,0.002,0.017,0.083,0.018,0.003,0.003,0.002,0.002,0.017,0.11,0.005,0.003,0.003,0.001,0.001,0.006,0.005
0.013,0.054,0.021,0.023,0.014,0.039,0.004,0.003,0.045,0.028,0.023,0.021,0.023,0.058,0.069,0.077,0.133,0.061,0.058,0.1,0.15,0.203,0.0,0.089,0.015,0.026,0.001,0.245,0.014,0.001,0.008,0.007,0.176,0.0,0.001,0.002,0.007,0.005,0.83,0.638,0.097,0.072,0.028,0.0,0.009,0.019,0.003,0.01,0.0,0.001,0.001,0.006,0.01,0.002,0.126,0.153,0.001,0.014,0.001,0.195,0.337,0.023,1.0,0.048,0.0,0.355,0.254,0.034,0.009,0.0,0.002,0.065,0.023,0.018,0.044,0.0,0.0,0.618,0.05,0.719,0.767,0.1,0.087,0.389,0.0,0.005,0.449,0.131,0.131,0.203,0.072,0.07,0.054,0.008,0.012,0.084,0.07,0.054,0.014,0.013,0.001,0.005,0.012,0.099,0.028,0.009,0.005,0.005,0.0,0.03,0.079,0.001,0.002,0.012,0.0,0.002,0.017,0.01
0.022,0.323,0.003,0.003,0.004,0.061,0.007,0.002,0.077,0.004,0.005,0.003,0.004,0.001,0.007,0.007,0.003,0.003,0.001,0.012,0.003,0.003,0.007,0.003,0.005,0.004,0.007,0.036,0.005,0.007,0.004,0.002,0.009,0.007,0.007,0.003,0.004,0.002,0.051,0.009,0.039,0.003,0.005,0.006,0.004,0.005,0.003,0.005,0.007,0.007,0.007,0.004,0.004,0.007,0.005,0.006,0.006,0.006,0.006,0.006,0.005,0.003,0.005,0.003,0.007,0.029,0.004,0.003,0.007,0.007,0.004,0.005,0.003,0.006,0.005,0.007,0.006,0.012,0.103,0.075,0.078,0.034,0.039,0.365,0.007,0.001,1.0,0.101,0.106,0.199,0.058,0.028,0.211,0.009,0.023,0.077,0.044,0.482,0.03,0.003,0.006,0.004,0.008,0.068,0.006,0.002,0.0,0.002,0.002,0.019,0.219,0.006,0.005,0.003,0.001,0.0,0.003,0.001
0.524,1.0,0.159,0.106,0.035,0.033,0.038,0.04,0.036,0.04,0.028,0.036,0.031,0.065,0.034,0.035,0.036,0.039,0.04,0.033,0.036,0.037,0.012,0.578,0.038,0.042,0.631,0.144,0.047,0.023,0.046,0.023,0.037,0.014,0.018,0.123,0.032,0.026,0.041,0.111,0.028,0.043,0.012,0.024,0.364,0.052,0.097,0.418,0.051,0.017,0.133,0.033,0.037,0.126,0.034,0.081,0.019,0.032,0.12,0.07,0.064,0.031,0.039,0.041,0.0,0.024,0.036,0.036,0.007,0.042,0.195,0.053,0.03,0.024,0.004,0.064,0.038,0.034,0.032,0.044,0.17,0.145,0.064,0.042,0.022,0.006,0.042,0.07,0.139,0.126,0.11,0.056,0.082,0.092,0.062,0.138,0.114,0.143,0.058,0.097,0.16,0.033,0.045,0.059,0.085,0.024,0.026,0.177,0.098,0.108,0.172,0.16,0.162,0.196,0.123,0.102,0.033,0.034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.002,0.006,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.003,0.0,0.624,0.011,0.004,0.0,0.005,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.002,0.002,0.0,0.0,0.0,0.003,0.015,0.004,1.0,0.007,0.002,0.186,0.008,0.002,0.004,0.0,0.0,0.0,0.004,0.004,0.003,0.0,0.001,0.039,0.0,0.011,0.003,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014,0.235,0.0,0.0,0.0,0.068,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.002,0.009,0.021,0.005,0.006,0.001,0.022,0.005,0.008,0.001,0.006,0.0,0.001,0.001,0.079,0.0,0.001,0.0,0.0,0.023,0.001,0.001,0.0,0.0,0.0,0.393,0.026,0.039,0.039,0.0,0.001,0.003,0.0,0.0,0.004,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.014,0.0,0.051,0.002,0.001,0.131,0.013,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.084,0.115,0.263,0.241,0.028,0.025,0.616,0.001,0.0,1.0,0.089,0.093,0.198,0.035,0.012,0.184,0.0,0.0,0.056,0.024,0.252,0.001,0.0,0.001,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.006,0.223,0.001,0.0,0.0,0.0,0.0,0.001,0.001
