C,Epsilon,Omega,Kernel_alignment
0.0001,10.0,10.0,0.23769427868199272
0.0001,10.0,10.0,0.24096848662072295
0.0001,10.0,10.0,0.24083200132856497
0.0001,10.0,10.0,0.24297361435029946
0.0001,10.0,10.0,0.24255513132322476
0.0001,1.0,10.0,0.23006160576203064
0.0001,1.0,10.0,0.22639775337435317
0.01,1.0,10.0,0.23904952630415607
0.001,1.0,10.0,0.22943770337674516
0.01,1.0,10.0,0.25880410861294456
0.0001,1.0,1.0,0.23668229453210604
0.0001,1.0,10.0,0.22606255968879277
0.0001,1.0,10.0,0.2300099207219505
0.0001,1.0,10.0,0.22974025707921297
0.0001,1.0,10.0,0.22825684916039238
0.01,1.0,10.0,0.23735790214502184
0.0001,1.0,10.0,0.2273789423446558
0.0001,1.0,10.0,0.23010953922020383
0.0001,1.0,10.0,0.2314586837006314
0.0001,1.0,10.0,0.22696133848283803
0.0001,1.0,10.0,0.24169531950989132
0.0001,1.0,10.0,0.23485838032888956
0.0001,10.0,10.0,0.21444438482248135
0.0001,10.0,10.0,0.24940043573200069
0.0001,1.0,10.0,0.21623840024685442
0.0001,10.0,10.0,0.23806378902043815
0.0001,1.0,10.0,0.22831023036015963
0.0001,1.0,10.0,0.23094063604947032
0.0001,1.0,10.0,0.23216632432878032
0.0001,1.0,10.0,0.22975517441164045
0.0001,1.0,10.0,0.2195834985124945
0.0001,1.0,0.001,0.210764252054349
0.0001,10.0,10.0,0.21276831429534998
0.0001,1.0,0.1,0.24876135929977491
0.0001,1.0,1.0,0.21223635693319287
0.0001,1.0,10.0,0.23320856822476885
0.0001,1.0,10.0,0.23210208570116073
0.0001,1.0,10.0,0.23378772162520972
0.0001,1.0,10.0,0.23219525244729483
0.0001,1.0,10.0,0.2321970797213155
