C,Epsilon,Omega,Kernel_alignment
0.01,10.0,10.0,0.9937033001047219
0.01,10.0,10.0,0.9936963950919395
0.01,10.0,10.0,0.9936769742982295
0.01,10.0,10.0,0.9936973767144235
0.01,10.0,10.0,0.9937140244910507
0.01,10.0,10.0,0.9939111704749816
0.0001,10.0,10.0,0.9936210208856837
0.01,10.0,10.0,0.9936581667436846
0.01,10.0,10.0,0.9936717389661146
0.0001,10.0,10.0,0.9936350752002746
0.01,10.0,10.0,0.9936619118272016
0.01,10.0,10.0,0.9936513857487407
0.01,10.0,10.0,0.9936633386043326
0.01,10.0,10.0,0.9936618114059058
0.01,10.0,10.0,0.9936908431670358
0.0001,10.0,100.0,0.9944401635790716
0.0001,10.0,10.0,0.9937506393312282
0.0001,10.0,1.0,0.9936350916084171
0.0001,10.0,1.0,0.9936055096707427
0.01,10.0,10.0,0.9939497488230311
0.01,10.0,10.0,0.9936790746718105
0.01,10.0,10.0,0.9936703661801342
0.01,10.0,10.0,0.9936588655422175
0.01,10.0,10.0,0.9936675785588267
0.01,10.0,10.0,0.9936529633818869
0.01,10.0,10.0,0.9936777991448759
0.0001,10.0,10.0,0.9936073580584458
0.01,10.0,10.0,0.9936217963328692
0.0001,10.0,10.0,0.9936077832864819
0.0001,10.0,1.0,0.9938058283881375
0.0001,10.0,10.0,0.9936333468779336
0.001,10.0,10.0,0.9936284540492182
0.0001,10.0,10.0,0.993634698117234
0.01,10.0,10.0,0.9936468245207708
0.01,10.0,10.0,0.9936245272742451
0.01,1.0,0.01,0.9949179021166825
0.01,10.0,10.0,0.9936483989651941
0.0001,10.0,1.0,0.9959161713908342
0.01,10.0,10.0,0.9939425801675621
0.01,10.0,10.0,0.9936231095551852
