C,Omega,Epsilon,Kernel_alignment
0.001,1000.0,1.0,0.7944512530045447
0.0001,10.0,0.001,0.7943706876572508
0.01,10.0,0.001,0.7937442957425527
0.1,10.0,0.001,0.7962659979030117
0.0001,1000.0,10.0,0.7949402664988482
0.001,100.0,100.0,0.7947929553484283
0.001,1000.0,0.1,0.7926458175247292
0.001,1000.0,1.0,0.7958152194502691
0.001,100.0,0.001,0.7966529282196323
0.01,100.0,0.01,0.7930575695014588
0.001,10000.0,1000.0,0.7894986917684073
0.1,10000.0,1.0,0.7898493629756129
0.1,10.0,0.01,0.7861848649341671
0.0001,100.0,0.0001,0.7886487890134394
0.0001,10.0,0.001,0.790744741968677
0.0001,1000.0,10000.0,0.7915366577974721
0.0001,10.0,10000.0,0.7923948083300125
0.1,100.0,0.0001,0.7945578253723431
0.1,10000.0,0.001,0.7933857757441557
0.01,1000.0,10000.0,0.7913266194234313
0.0001,10.0,10000.0,0.7887894302295966
0.1,100.0,0.01,0.7901150911259807
0.01,100.0,0.0001,0.783989369059566
0.1,10.0,1.0,0.7874941266212888
0.1,1000.0,1.0,0.7870490040322641
0.001,10.0,0.1,0.7903658250612414
0.0001,1000.0,0.0001,0.7911723393164456
0.0001,1000.0,100.0,0.794072643482078
0.1,10000.0,1000.0,0.7933043275361423
0.001,1000.0,1000.0,0.7933235357594313
0.01,1000.0,0.01,0.7892345891874685
0.0001,10000.0,0.001,0.7964388344429404
0.0001,10000.0,0.001,0.804062721627585
0.001,10000.0,0.01,0.7886823099966613
0.1,1000.0,10000.0,0.7834722811210642
0.01,10.0,1000.0,0.787770641446342
0.0001,100.0,0.001,0.7908311933207153
0.01,10000.0,0.0001,0.7890129230348574
0.01,10000.0,0.0001,0.787214653959563
0.1,1000.0,0.001,0.7891284049791242
