C,Omega,Epsilon,Kernel_alignment
0.001,10.0,0.1,0.8011389544047981
0.1,10000.0,1000.0,0.802625533731383
0.001,1000.0,0.001,0.8034286440145215
0.1,100.0,10000.0,0.8048761916078545
0.01,1000.0,0.01,0.8049418898592015
0.01,10000.0,0.1,0.8023440230971804
0.0001,100.0,0.01,0.8023399862608191
0.1,1000.0,1000.0,0.8029893804009532
0.01,10.0,0.1,0.8037969896635503
0.01,100.0,0.0001,0.8004815051589542
0.1,1000.0,100.0,0.7980094902855109
0.001,10.0,10.0,0.8052902242627381
0.0001,100.0,100.0,0.7961355393389493
0.1,10000.0,0.01,0.7988366927717931
0.1,10000.0,0.1,0.8040852810499665
0.001,10000.0,1000.0,0.8015320096521887
0.001,100.0,0.1,0.8007129324015162
0.1,100.0,1000.0,0.8023781681228528
0.0001,100.0,10000.0,0.8009731570240797
0.1,100.0,10.0,0.8001279542482818
0.001,1000.0,100.0,0.8036692175413467
0.0001,1000.0,1000.0,0.8006716303661827
0.001,1000.0,0.01,0.7969652378291727
0.1,1000.0,0.1,0.804019973814694
0.0001,10000.0,0.0001,0.799218771402127
0.1,10000.0,10.0,0.8035730135943346
0.1,10000.0,0.1,0.8004875720780167
0.001,100.0,1.0,0.8007807853925792
0.01,1000.0,0.1,0.7988478470585831
0.1,10000.0,1.0,0.8020320654208257
0.0001,1000.0,0.0001,0.8011878775033049
0.1,10000.0,10.0,0.800208612458064
0.0001,10000.0,0.1,0.80354215279253
0.01,1000.0,0.1,0.7995816202033678
0.1,10000.0,10.0,0.7972266382571042
0.0001,1000.0,0.0001,0.7981370716450105
0.1,100.0,10.0,0.8014838257207328
0.01,10000.0,10000.0,0.7975255687687927
0.1,10000.0,100.0,0.8009416994354075
0.001,1000.0,0.1,0.804315132083679
