C,Omega,Epsilon,Kernel_alignment
0.01,10.0,1.0,0.7865543151146721
0.001,10000.0,1.0,0.785841767788249
0.0001,10000.0,0.01,0.7848698729593111
0.1,10.0,0.1,0.7871458873500141
0.1,100.0,1.0,0.7859079711773213
0.01,10000.0,1.0,0.7867885574066737
0.01,10000.0,0.1,0.7850246081504976
0.001,1000.0,10000.0,0.7882574159210869
0.001,10.0,10000.0,0.7897244617326359
0.1,10.0,10000.0,0.7850558566475871
0.001,10000.0,1.0,0.7801018903947399
0.1,100.0,1000.0,0.7825857102486857
0.001,100.0,10.0,0.7777288373344312
0.1,100.0,0.0001,0.7800876291562103
0.01,10.0,10.0,0.7821711417010232
0.01,10000.0,0.01,0.7831790790701144
0.1,1000.0,0.01,0.7832250315467258
0.1,1000.0,0.01,0.7855391148585675
0.001,10000.0,0.001,0.7846145823323435
0.001,1000.0,1000.0,0.7834128314078023
0.001,10.0,0.01,0.7815442865441393
0.01,1000.0,10000.0,0.782134955392125
0.0001,10000.0,10.0,0.7748776544367573
0.01,100.0,0.01,0.779771336163566
0.1,10.0,1000.0,0.778437390570814
0.01,1000.0,10.0,0.7812215551888102
0.001,10.0,1000.0,0.7827314232026197
0.01,10000.0,0.0001,0.7846186092680497
0.01,100.0,10.0,0.7849034265242271
0.001,10000.0,100.0,0.7857357262826481
0.01,10000.0,100.0,0.7808065904501817
0.0001,10000.0,10000.0,0.7840487296089355
0.01,10.0,10.0,0.7966336918425425
0.0001,10.0,10000.0,0.7809119304673913
0.0001,10.0,0.001,0.7731898137977555
0.01,100.0,0.0001,0.7784236864175464
0.001,100.0,10.0,0.7803148210743324
0.001,10000.0,0.01,0.7800219340087223
0.01,10000.0,0.0001,0.7775363951008577
0.01,10000.0,1.0,0.7785554737713898
