C,Omega,Epsilon,Kernel_alignment
0.0001,1.0,0.0001,0.8138524331255012
0.001,1000.0,10.0,0.8159286782593914
0.1,10.0,0.001,0.8160483287328616
0.001,10000.0,100.0,0.8190871366240728
0.01,10000.0,0.01,0.8190946291295631
0.1,100.0,100.0,0.8141562108382258
0.01,100.0,0.01,0.8076895472958279
0.0001,1.0,10000.0,0.8097222430946112
0.1,10.0,1000.0,0.8106134991600386
0.01,1.0,0.1,0.8110835415102542
0.1,10.0,0.01,0.8100131761359596
0.01,1000.0,0.01,0.8123407697906332
0.01,1.0,0.001,0.8134241677369431
0.1,1.0,1.0,0.8128182216569038
0.1,10000.0,100.0,0.8182812675229498
0.0001,10.0,1000.0,0.8146742594652904
0.1,10.0,10000.0,0.8077777756774512
0.1,10000.0,10.0,0.8083274067288352
0.1,10.0,0.001,0.8075278857986521
0.001,10000.0,0.01,0.8100637097855105
0.001,1.0,0.001,0.8171164506551972
0.1,10000.0,1000.0,0.8148797060909203
0.1,1000.0,0.01,0.814564145236089
0.01,1.0,0.01,0.8136978381306518
0.01,1.0,100.0,0.8132124099707235
0.0001,1000.0,10000.0,0.8164965856272451
0.001,10000.0,0.0001,0.807244782949921
0.01,10000.0,0.001,0.8095154142120496
0.1,10.0,0.001,0.8071808644680978
0.1,1000.0,10000.0,0.8083028328699873
0.0001,1000.0,100.0,0.8132534682927203
0.1,1.0,0.001,0.8138281317341042
0.001,1.0,10000.0,0.812130268905437
0.01,10000.0,0.1,0.810775610003814
0.01,100.0,1.0,0.8113208868203892
0.01,1.0,1.0,0.8064679809619907
0.1,1.0,10.0,0.8117911227308164
0.01,1.0,0.01,0.8075111513084356
0.001,10000.0,1000.0,0.8129790706694007
0.01,1000.0,10.0,0.81514696933014
