C,Epsilon,Omega,Kernel_alignment
0.0001,10.0,10000.0,0.7488885486550692
0.0001,10.0,100.0,0.8476848389127815
0.1,1.0,1000.0,0.8084493852918458
0.0001,10.0,100.0,0.8380775457582686
0.0001,10.0,1.0,0.8410046065095683
0.0001,10.0,10000.0,0.7703289021051405
0.0001,10.0,0.1,0.8388144894609704
0.0001,10.0,0.01,0.8350359815727013
0.0001,10.0,0.1,0.8432162450833133
0.0001,1.0,100.0,0.8343140530752087
