Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[1.04860812]
0,0,0,0,0,[1.19155121]
0,0,0,0,0,[1.36134744]
0,0,0,0,0,[1.47057485]
0,0,0,0,0,[1.53585592]
0,0,0,0,0,[0.91482362]
0,0,0,0,0,[0.92483115]
0,0,0,0,0,[1.15211986]
0,0,0,0,0,[0.92402784]
0,0,0,0,0,[1.66000154]
0,0,0,0,0,[1.22827623]
0,0,0,0,0,[1.48753234]
0,0,0,0,0,[1.96706197]
0,0,0,0,0,[1.52446411]
0,0,0,0,0,[1.37709303]
0,0,0,0,0,[1.10437666]
0,0,0,0,0,[0.84342398]
0,0,0,0,0,[0.80309565]
0,0,0,0,0,[0.89596601]
0,0,0,0,0,[1.02292785]
0,0,0,0,0,[1.22411095]
0,0,0,0,0,[1.2354918]
0,0,0,0,0,[1.94580944]
0,0,0,0,0,[1.01098849]
0,0,0,0,0,[1.92728883]
0,0,0,0,0,[1.18184196]
0,0,0,0,0,[0.80318486]
0,0,0,0,0,[0.78289575]
0,0,0,0,0,[1.02965731]
0,0,0,0,0,[0.74361045]
0,0,0,0,0,[1.49336122]
0,0,0,0,0,[1.70036778]
0,0,0,0,0,[1.67501611]
0,0,0,0,0,[1.56911515]
0,0,0,0,0,[1.86343306]
0,0,0,0,0,[0.92575465]
0,0,0,0,0,[0.88034364]
0,0,0,0,0,[0.83868414]
0,0,0,0,0,[0.91997306]
0,0,0,0,0,[1.0002722]
