"['Green_BBCH25', 'Red_BBCH25', 'Green_BBCH45', 'Red_BBCH45']"
"['Green_BBCH25', 'Red_BBCH25', 'Green_BBCH45', 'Red_BBCH45']"
"['Red_BBCH25', 'RedEdge_BBCH25', 'MRETVI_BBCH25', 'Red_BBCH45', 'RedEdge_BBCH45', 'MRETVI_BBCH45']"
"['Red_BBCH25', 'RedEdge_BBCH25', 'MRETVI_BBCH25', 'Red_BBCH45', 'RedEdge_BBCH45', 'MRETVI_BBCH45']"
"['Red_BBCH25', 'TNDVI_BBCH25', 'Red_BBCH45']"
"['Red_BBCH25', 'RedEdge_BBCH25', 'MRETVI_BBCH25', 'Red_BBCH45', 'RedEdge_BBCH45', 'MRETVI_BBCH45']"
"['Green_BBCH25', 'Red_BBCH25', 'TNDVI_BBCH25', 'Green_BBCH45', 'Red_BBCH45']"
"['Green_BBCH25', 'Red_BBCH25', 'MTCARI_BBCH25', 'MRETVI_BBCH25', 'Green_BBCH45', 'Red_BBCH45', 'MTCARI_BBCH45', 'MRETVI_BBCH45']"
"['Green_BBCH25', 'Red_BBCH25', 'MRETVI_BBCH25', 'Green_BBCH45', 'Red_BBCH45', 'MRETVI_BBCH45']"
"['Green_BBCH25', 'Red_BBCH25', 'TNDVI_BBCH25', 'Green_BBCH45', 'Red_BBCH45']"
