Rold,Rnew,RMSE,CVrmse,MAE
0.038454898269592364,0.6428441407149653,26.834956373126698,28.177024366606485,26.29470736054307
-0.058105915347180126,-0.10386821007464642,44.80474957744573,41.016510775537576,39.790270680018246
-0.005785655203754736,0.18064682512086916,34.98312641470939,35.46816032771817,32.1557179738069
-0.039518714815964806,0.3686091205408827,36.16607904990025,33.69531133836428,25.706445721982842
-0.017457868019598255,0.5972373206262425,26.162507924278806,24.36310750957456,21.422123980535893
-0.0038361678734741833,0.27388882550121296,41.8528095938286,39.802716073721314,31.362182480377143
0.009709401459720879,0.3663676322621081,37.49040605679322,37.22291528780244,28.255128143036735
0.008988227905371238,0.34824259257684465,32.96102327172595,31.59091375993865,29.11417399343602
0.04717031535992866,0.5710240490990867,32.520105662750375,32.985348236756536,27.481225361717122
0.026955516561416593,0.11546789005444535,36.336623748611885,35.01106933311482,26.553501779244975
