C,Epsilon,Omega,Kernel_alignment
0.0001,10.0,1000.0,0.34842642011019553
0.0001,1.0,1000.0,0.3612293872966992
0.0001,1.0,1000.0,0.35362063580220426
0.0001,1.0,1000.0,0.35462027852108075
0.0001,10.0,1000.0,0.3608036298807239
0.0001,10.0,1000.0,0.35196668452757
0.0001,10.0,1.0,0.3515464006957272
0.0001,1.0,1000.0,0.3595500969681917
0.0001,1.0,1000.0,0.3538506393122583
0.0001,10.0,1000.0,0.35228215150590586
0.0001,10.0,0.01,0.38417482199231895
0.0001,1.0,1000.0,0.3785055881401837
0.0001,1.0,1000.0,0.3770973575330503
0.0001,1.0,1000.0,0.38663728081719667
0.0001,1.0,1000.0,0.382403934514076
0.0001,10.0,1000.0,0.3799374152336541
0.1,10.0,100.0,0.3724551133824315
0.1,10.0,100.0,0.3757657235002437
0.001,1.0,100.0,0.3764772209962171
0.0001,1.0,1000.0,0.37805453239431613
0.1,10.0,100.0,0.36965199547150973
0.1,1.0,100.0,0.3662840539872874
0.0001,1.0,1000.0,0.3832967526975985
0.0001,1.0,1000.0,0.36728138719652126
0.0001,1.0,100.0,0.37717299318747055
0.0001,1.0,1000.0,0.3726931886608792
0.0001,1.0,1000.0,0.37254702268503753
0.1,1.0,100.0,0.3744578952030704
0.0001,1.0,1000.0,0.377298626383627
0.0001,1.0,1000.0,0.3781529294360965
0.0001,1.0,1000.0,0.36829241689467734
0.0001,1.0,1000.0,0.36754411729097713
0.0001,1.0,1000.0,0.3723837671985225
0.0001,1.0,100.0,0.3678181208059275
0.0001,1.0,1000.0,0.36610378126392357
0.01,10.0,100.0,0.36285687687392976
0.0001,1.0,1000.0,0.36174483063981583
0.0001,1.0,1000.0,0.362812698550732
0.0001,1.0,1000.0,0.3656637272971411
0.0001,1.0,1000.0,0.36341477427014496
