scenario1,scenario2,scenario3,scenario4,scenario5,scenario6
-0.1407594232332885,0.0035516609100124663,-0.162986572065555,-0.20587357650553662,-0.07676332983569645,-0.03715441937742847
0.7030689035334077,0.3254310812104718,0.7161722273848743,0.36911076579305413,0.6590913089851516,0.5122947728455474
0.1419755974900513,-0.07039897007795881,0.14444339456382016,-0.03668980790485543,-0.1339020429137705,0.01631963115523072
0.23796446926884018,0.345673155232321,0.20074512461952798,0.3250620111918122,0.512802287985787,0.527218737517992
0.24459149892444,0.4380517170754168,0.3600299196847032,0.265721779108798,0.24535321315109182,0.24829764642888097
0.31846087581534466,0.23933176528136457,0.33727719834380787,0.26671770893117785,0.20922716362208282,0.07325664212157501
-0.2299047510804928,0.0898193046489556,0.14855482512210927,0.016289930391444774,0.11292914834315582,0.04786194333765903
0.3123833829254732,0.45190040684827537,0.3995675234012104,0.2652290853078938,0.5515893549190034,0.1051085388791404
0.8586858591705508,0.8124031987796383,0.8532618568013055,0.8269469193331507,0.7769964067627905,0.7933585899387895
0.8212638913507504,0.8331956973765298,0.8286920802522365,0.8340034180056644,0.7880190073259312,0.8684723696533798
0.7465723090021512,0.7914134408367289,0.6865444227436592,0.798080461349115,0.8182507655806694,0.7607964099773836
0.7366171393711282,0.592341689237561,0.6993649743120782,0.5599335782550051,0.6739955430806819,0.4293025605472429
0.8074388673407791,0.8094809616477752,0.8033832776023032,0.8235687790249943,0.7786282370379727,0.8332002819831121
0.7809917075537873,0.8062679998945902,0.7935537129702117,0.8057316068586627,0.8254055362570002,0.8098612542060912
0.7361945151154349,0.7808913820201221,0.6894437536756212,0.7980282906121158,0.8192666651227702,0.6718839151375948
0.6891741894105992,0.7085100715169947,0.7037819474136131,0.6967364275179768,0.7966014227795637,0.49738307122516057
0.13348625724807472,0.11993483861359255,0.22356596085941638,0.05422760143109362,0.07105611454558791,0.2400737703058209
-0.08581151656038677,-0.0004315459249957243,0.13497838679286112,-0.13568982796683038,0.05482396810835155,0.19207965816044892
0.371425577049995,0.5223965759191016,0.39301765592494076,0.08905901938883587,0.4466493142296434,0.24644990452592308
0.26296736668927234,0.35603086234646775,0.28869381686335993,0.24086872628844458,0.38348284676316957,-0.053883523836445235
0.2596989080416303,0.06999030012280383,0.26499411329340583,-0.154761640040308,0.35244471242422604,-0.023503963485503432
0.2863243448600111,0.237235976916088,0.29053258081866473,-0.10581934358498302,0.2899035223979224,0.06820209728773508
0.04749656486859699,0.22274077035333395,0.04980342683498107,0.2646760803829553,0.2373641510184762,-0.28319510980243323
-0.05122282455986671,-0.2674295323650524,-0.05158820849288204,-0.14085817109048882,0.21176617809761955,-0.3577314883055378
0.4526256390664246,0.3241037976843727,0.4902345878912109,0.3537514859497545,0.39849095432988646,-0.12553900217112912
-0.3409934600573099,0.3352897874275631,-0.25061026508676343,0.289799188509796,0.2655144574943581,-0.4932424588469433
0.6938072779612764,0.5160903731624267,0.6701570901109813,0.6087179737472261,0.5894804889272983,0.5365486452665702
0.7011941959187633,0.5470804486567887,0.6968497060350551,0.5484506663973607,0.5686604673638547,0.5413090113790285
0.7669530510593133,0.7354003140546714,0.782835098303689,0.7096952373034433,0.734091776420883,0.37529778767413124
0.8015087854376681,0.762885565683831,0.8299367180961528,0.743465694702731,0.4515104613221418,0.38297470148411716
0.8064145188397003,0.7519183184450242,0.8153911883666289,0.7352744485338648,0.679829132243983,0.4918089348026745
0.7345768463669647,0.7909633546945571,0.7239896791538425,0.7630598365824508,0.6924953533296676,0.5187743225328347
0.793644918774923,0.6289094200184436,0.8002901874496172,0.5396621241459914,0.7062088613035307,0.5455068456124849
0.209267811663451,-0.06734413774076775,0.21942125779174493,-0.07166963652487968,-0.011406200304705294,-0.024481692419325185
0.5823914667344221,0.45528517716622785,0.5952033469995672,0.4801711352772209,0.3205355396822924,0.37793643656940734
0.8195224557196653,0.6388151392214536,0.8396743226392086,0.6790098469123915,0.6010181866923825,0.5166299801520198
0.5809710207453977,0.5641459513440864,0.5705464103520606,0.6076695675485582,0.5660092033737139,0.45715774438900825
0.5835577278465063,0.528037320375953,0.5489520953418273,0.5107247220115192,0.5375450233208603,0.607671399046364
0.8202872274594153,0.677930803439303,0.8383863695272437,0.6384370406570522,0.39986860623088616,0.7191796862018518
0.7017584813933078,0.5245851508266661,0.7042178168746619,0.5072646198745923,0.15721052404060876,0.6115509953672289
0.7175837058378731,0.7047751088834389,0.6950960022592907,0.6733826574205664,0.5556854573288581,0.5315125371022618
0.6350018447988266,0.6679983142277321,0.6421644720418567,0.6604946526454971,0.3879624151841913,0.6223258317651721
0.7285672994378589,0.6399848681538306,0.727791555102705,0.5843248840541124,0.6550745907129065,0.5779026089554884
0.040691111405782854,-0.07518060817054306,0.119718365584356,-0.1156042076921393,-0.07039969952890823,0.021703443768440356
0.5989462745728351,0.0767494694535833,0.6054347878583326,0.23079414827533473,0.23843787417586282,0.36969364881483824
0.779636857880448,0.6292051058724635,0.769727473079527,0.6546926044165777,0.5305010165786438,0.5977405071030228
