C,Epsilon,Omega,Kernel_alignment
0.0001,1.0,0.001,0.22592192381763512
0.0001,1.0,0.01,0.2298442004520306
0.0001,1.0,0.01,0.2247729130198666
0.0001,1.0,0.0001,0.22336751677913158
0.0001,1.0,0.001,0.22855741470426488
0.0001,1.0,0.0001,0.2211685421286365
0.0001,1.0,0.0001,0.23971944577082058
0.0001,1.0,0.001,0.23052701850241306
0.0001,1.0,0.0001,0.22546072410137566
0.0001,1.0,0.01,0.23005289904955528
0.0001,1.0,1.0,0.23190873537403953
0.0001,1.0,0.0001,0.23351939564407942
0.0001,1.0,0.001,0.23299586712840697
0.0001,1.0,0.0001,0.23030996824721978
0.0001,1.0,0.0001,0.24055601243411476
0.0001,1.0,0.0001,0.2244413372161926
0.0001,1.0,0.001,0.23921085705177683
0.0001,1.0,0.01,0.2424927690267405
0.0001,1.0,0.01,0.2434535034197879
0.0001,1.0,0.001,0.22750239566795827
0.0001,1.0,0.0001,0.23535234238245611
0.0001,1.0,0.001,0.23261424627908805
0.0001,1.0,0.0001,0.2233826045103347
0.0001,1.0,10.0,0.2454688057794436
0.0001,1.0,0.001,0.22537048752926458
0.0001,1.0,0.0001,0.23312157177960724
0.0001,1.0,0.01,0.23573370084317086
0.0001,1.0,0.0001,0.23565214368343881
0.0001,1.0,10.0,0.2371213300705793
0.0001,1.0,0.01,0.23816885663138473
0.0001,1.0,0.0001,0.23627566732032232
0.0001,1.0,0.001,0.2134460467707153
0.0001,1.0,0.0001,0.23236177319894635
0.001,10.0,10.0,0.23737779874237777
0.0001,10.0,10.0,0.22713981533424088
0.0001,1.0,0.0001,0.2334575189230407
0.0001,1.0,0.001,0.23229518541748576
0.0001,1.0,0.01,0.2347839707817673
0.0001,1.0,0.0001,0.23172876424624775
0.0001,1.0,0.0001,0.23259917694512514
