Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[3.45243768]
0,0,0,0,0,[3.90024455]
0,0,0,0,0,[3.79670205]
0,0,0,0,0,[4.37030968]
0,0,0,0,0,[4.12871832]
0,0,0,0,0,[2.92859244]
0,0,0,0,0,[5.01761804]
0,0,0,0,0,[3.58292154]
0,0,0,0,0,[3.92655187]
0,0,0,0,0,[4.35538135]
0,0,0,0,0,[3.68282802]
0,0,0,0,0,[4.90622967]
0,0,0,0,0,[5.72359894]
0,0,0,0,0,[5.44159729]
0,0,0,0,0,[3.71047725]
0,0,0,0,0,[4.15103157]
0,0,0,0,0,[4.66171662]
0,0,0,0,0,[4.00652179]
0,0,0,0,0,[4.19993234]
0,0,0,0,0,[3.50645203]
0,0,0,0,0,[3.90831024]
0,0,0,0,0,[4.18157006]
0,0,0,0,0,[5.59502593]
0,0,0,0,0,[4.13125774]
0,0,0,0,0,[4.92614502]
0,0,0,0,0,[5.92523488]
0,0,0,0,0,[3.81486832]
0,0,0,0,0,[4.5765669]
0,0,0,0,0,[4.98271147]
0,0,0,0,0,[4.06268649]
0,0,0,0,0,[5.50402609]
0,0,0,0,0,[5.55522248]
0,0,0,0,0,[5.15605547]
0,0,0,0,0,[4.68506928]
0,0,0,0,0,[5.29445664]
0,0,0,0,0,[4.10215104]
0,0,0,0,0,[5.53713764]
0,0,0,0,0,[3.79735101]
0,0,0,0,0,[5.03965006]
0,0,0,0,0,[5.70702739]
