C,Omega,Epsilon,Kernel_alignment
0.1,10000.0,1000.0,0.9903686223335284
0.001,1.0,10000.0,0.99034057557278
0.0001,10000.0,10.0,0.9904406227395739
0.0001,1.0,0.01,0.9897747904824705
0.0001,0.1,0.01,0.9903837457998116
0.0001,10000.0,1000.0,0.9899707768012646
0.01,10000.0,0.001,0.989822409910573
0.01,1000.0,0.01,0.9897653591882499
0.001,10.0,0.001,0.9925688124482732
0.001,1.0,1.0,0.9903671381152078
0.01,100.0,1000.0,0.9898885787170145
0.01,1000.0,10.0,0.9900576823971404
0.001,1.0,1.0,0.9898184727203965
0.01,1000.0,1000.0,0.9899321085138517
0.0001,1.0,10000.0,0.9899083959322486
0.0001,10.0,0.1,0.9897700559829536
0.01,1.0,100.0,0.9896869554558059
0.0001,1.0,100.0,0.9898140922811276
0.001,10000.0,100.0,0.989840198445129
0.001,1000.0,0.1,0.98982455209726
0.01,1000.0,0.1,0.9897940708902243
0.0001,1.0,0.001,0.9901687241386268
0.01,1000.0,1.0,0.9897406339194266
0.0001,10000.0,100.0,0.9897669625732325
0.01,1.0,100.0,0.9896895840860213
0.001,10.0,1.0,0.9898333285692965
0.001,10.0,100.0,0.9898355395234006
0.0001,10000.0,0.01,0.989754965450335
0.01,1.0,1.0,0.9898140612064515
0.01,1.0,100.0,0.9896877770788508
0.01,1.0,10000.0,0.9897469249813489
0.0001,1.0,10000.0,0.9899677815304242
0.0001,1.0,100.0,0.9897418196732493
0.01,1.0,10.0,0.9902744204368014
0.001,1.0,0.1,0.9896889220869568
0.0001,1.0,1.0,0.9896466867810253
0.0001,1.0,10.0,0.9898757758583313
0.01,1000.0,100.0,0.9896454602238396
0.01,100.0,0.1,0.989757330434914
0.01,1.0,1.0,0.9897721386823265
