C,Omega,Epsilon,Kernel_alignment
0.001,1.0,0.001,0.9903683186822267
0.01,1.0,0.001,0.9902384627607724
0.01,1.0,0.001,0.9904279344315243
0.001,1.0,0.1,0.989772422234868
0.001,10.0,0.1,0.9903825193748201
0.001,10000.0,0.001,0.9899558448859789
0.0001,1.0,1.0,0.98981604803271
0.0001,1.0,10000.0,0.9897613489277638
0.01,1.0,0.0001,0.992568872558
0.0001,1.0,10000.0,0.990358400980272
0.01,1.0,100.0,0.9898817222643593
0.1,10.0,100.0,0.9899968052399319
0.001,1.0,1000.0,0.9898111032140945
0.001,1.0,1000.0,0.98992755300194
0.0001,1.0,0.001,0.9899006957725064
0.001,1.0,100.0,0.9897703258637146
0.0001,1000.0,10000.0,0.9896831351736122
0.001,1.0,0.1,0.9898126829385869
0.001,1.0,0.0001,0.989838971916131
0.01,1.0,1.0,0.9898235849868178
0.01,1.0,0.001,0.989791107977733
0.0001,1.0,0.001,0.9901656518558546
0.01,1.0,100.0,0.9897323191330631
0.0001,1.0,0.01,0.9897664955160286
0.001,100.0,10000.0,0.9896843572556655
0.01,1.0,0.01,0.9898257337158154
0.0001,1.0,0.1,0.9898268696484
0.01,1.0,0.001,0.9897553452121889
0.01,1.0,0.01,0.9898122901946529
0.0001,1.0,1.0,0.9896859891255967
0.0001,1.0,0.0001,0.9897468367450191
0.01,1.0,100.0,0.9899678608455097
0.001,1.0,1000.0,0.989738331426879
0.001,1.0,0.0001,0.9902623371848516
0.01,1.0,1.0,0.98968027645671
0.0001,1.0,0.1,0.9896453832050467
0.0001,1.0,0.01,0.9898757584694873
0.0001,1.0,0.1,0.9896438564238517
0.01,1.0,1.0,0.9897557598890544
0.0001,1.0,10.0,0.9897716455735242
