Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[1.32869883]
0,0,0,0,0,[1.34694913]
0,0,0,0,0,[1.36863782]
0,0,0,0,0,[1.37217402]
0,0,0,0,0,[1.38019474]
0,0,0,0,0,[1.20848447]
0,0,0,0,0,[1.19291839]
0,0,0,0,0,[1.26477792]
0,0,0,0,0,[1.21164163]
0,0,0,0,0,[1.34620013]
0,0,0,0,0,[1.35044865]
0,0,0,0,0,[1.32813278]
0,0,0,0,0,[1.38252759]
0,0,0,0,0,[1.33055129]
0,0,0,0,0,[1.31793591]
0,0,0,0,0,[1.26769923]
0,0,0,0,0,[1.18698367]
0,0,0,0,0,[1.18626403]
0,0,0,0,0,[1.20160869]
0,0,0,0,0,[1.18372346]
0,0,0,0,0,[1.34904702]
0,0,0,0,0,[1.36091286]
0,0,0,0,0,[1.35043081]
0,0,0,0,0,[1.23498514]
0,0,0,0,0,[1.34736003]
0,0,0,0,0,[1.28239884]
0,0,0,0,0,[1.16022955]
0,0,0,0,0,[1.19672572]
0,0,0,0,0,[1.23453604]
0,0,0,0,0,[1.18190178]
0,0,0,0,0,[1.31080067]
0,0,0,0,0,[1.37064713]
0,0,0,0,0,[1.27990958]
0,0,0,0,0,[1.30572465]
0,0,0,0,0,[1.3410779]
0,0,0,0,0,[1.19041247]
0,0,0,0,0,[1.18352618]
0,0,0,0,0,[1.21275763]
0,0,0,0,0,[1.20752876]
0,0,0,0,0,[1.27466232]
