Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
0.851,1.0,0.17,0.15,0.144,0.299,0.231,0.218,0.322,0.098,0.078,0.095,0.109,0.052,0.202,0.124,0.173,0.073,0.063,0.23,0.178,0.209,0.138,0.607,0.329,0.349,0.698,0.371,0.156,0.127,0.056,0.105,0.254,0.136,0.135,0.26,0.053,0.079,0.551,0.907,0.746,0.412,0.241,0.191,0.602,0.142,0.213,0.635,0.192,0.218,0.253,0.156,0.164,0.271,0.051,0.086,0.185,0.152,0.338,0.091,0.018,0.194,0.05,0.062,0.177,0.304,0.104,0.076,0.215,0.116,0.218,0.389,0.195,0.2,0.257,0.136,0.101,0.493,0.0
0.681,0.841,0.11,0.094,0.124,0.274,0.222,0.196,0.305,0.091,0.071,0.087,0.1,0.051,0.138,0.147,0.19,0.061,0.066,0.151,0.21,0.36,0.111,0.576,0.366,0.368,0.474,0.381,0.115,0.097,0.029,0.064,0.217,0.108,0.105,0.147,0.025,0.049,0.756,0.898,1.0,0.523,0.255,0.196,0.634,0.086,0.155,0.693,0.163,0.194,0.212,0.121,0.136,0.169,0.051,0.056,0.13,0.113,0.199,0.058,0.021,0.108,0.03,0.048,0.14,0.304,0.07,0.051,0.132,0.065,0.127,0.244,0.112,0.116,0.173,0.076,0.052,0.484,0.0
0.157,0.382,0.0,0.0,0.004,0.001,0.004,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.005,0.614,0.0,0.595,0.714,0.21,0.059,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,0.68,1.0,0.978,0.232,0.089,0.01,0.0,0.0,0.522,0.001,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.0
0.039,0.125,0.0,0.0,0.002,0.003,0.006,0.002,0.004,0.002,0.001,0.001,0.003,0.001,0.001,0.002,0.003,0.001,0.001,0.001,0.009,0.365,0.0,0.542,0.251,0.096,0.002,0.215,0.001,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.849,0.279,0.811,1.0,0.152,0.081,0.032,0.0,0.0,0.545,0.02,0.007,0.037,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.0,0.001,0.001,0.012,0.001,0.001,0.0,0.0,0.001,0.003,0.0,0.0,0.001,0.001,0.001,0.003,0.0
0.152,0.465,0.001,0.0,0.002,0.04,0.013,0.007,0.158,0.003,0.002,0.003,0.002,0.002,0.003,0.004,0.006,0.002,0.002,0.003,0.007,0.201,0.001,0.554,0.032,0.033,0.005,0.18,0.001,0.0,0.0,0.001,0.006,0.001,0.001,0.0,0.0,0.0,1.0,0.544,0.98,0.807,0.104,0.032,0.202,0.0,0.002,0.845,0.028,0.063,0.167,0.003,0.004,0.005,0.001,0.002,0.004,0.003,0.006,0.002,0.0,0.0,0.0,0.002,0.004,0.019,0.002,0.001,0.001,0.001,0.003,0.017,0.0,0.001,0.002,0.001,0.001,0.01,0.0
0.01,0.063,0.0,0.0,0.001,0.007,0.009,0.006,0.014,0.002,0.001,0.002,0.001,0.001,0.003,0.004,0.006,0.001,0.002,0.003,0.012,0.334,0.0,0.411,0.003,0.002,0.001,0.272,0.0,0.0,0.0,0.001,0.007,0.0,0.0,0.0,0.0,0.0,1.0,0.073,0.967,0.881,0.051,0.039,0.383,0.0,0.001,0.495,0.061,0.066,0.072,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.001,0.0,0.0,0.001,0.003,0.003,0.001,0.001,0.0,0.0,0.001,0.007,0.0,0.0,0.001,0.0,0.0,0.002,0.0
0.586,1.0,0.0,0.0,0.0,0.132,0.0,0.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.116,0.002,0.308,0.205,0.194,0.403,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.932,0.671,0.372,0.146,0.033,0.456,0.0,0.0,0.56,0.025,0.101,0.141,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.249,0.0,0.0,0.017,0.0,0.0,0.305,0.0
0.624,0.907,0.185,0.08,0.034,0.023,0.039,0.025,0.024,0.017,0.019,0.014,0.026,0.016,0.032,0.02,0.023,0.014,0.014,0.041,0.023,0.037,0.028,0.141,0.641,0.089,1.0,0.122,0.15,0.021,0.021,0.018,0.034,0.026,0.025,0.063,0.021,0.026,0.308,0.874,0.39,0.272,0.22,0.037,0.03,0.052,0.022,0.038,0.017,0.019,0.017,0.016,0.021,0.018,0.014,0.011,0.017,0.017,0.043,0.011,0.013,0.308,0.033,0.016,0.012,0.387,0.019,0.033,0.037,0.024,0.015,0.16,0.071,0.06,0.051,0.024,0.023,0.633,0.0
0.594,0.858,0.148,0.046,0.03,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.007,0.298,0.007,0.229,0.897,0.161,0.748,0.041,0.127,0.0,0.0,0.0,0.0,0.005,0.003,0.0,0.0,0.0,0.489,1.0,0.789,0.381,0.314,0.053,0.045,0.0,0.0,0.185,0.0,0.001,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0,0.491,0.0,0.003,0.001,0.0,0.0,0.029,0.035,0.023,0.029,0.0,0.0,0.672,0.0
0.584,0.976,0.0,0.0,0.0,0.133,0.0,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.211,0.0,0.414,0.218,0.165,0.311,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762,1.0,0.865,0.518,0.158,0.026,0.505,0.0,0.0,0.677,0.02,0.099,0.157,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.005,0.0,0.0,0.247,0.0
