Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Whole_set
0.709,1.0,0.19,0.168,0.168,0.217,0.185,0.174,0.443,0.153,0.151,0.148,0.161,0.145,0.164,0.155,0.159,0.143,0.143,0.168,0.162,0.191,0.236,0.253,0.261,0.383,0.645,0.324,0.176,0.174,0.155,0.153,0.172,0.18,0.208,0.204,0.153,0.159,0.627,0.0
0.867,1.0,0.49,0.484,0.507,0.561,0.583,0.539,0.629,0.465,0.458,0.452,0.49,0.443,0.483,0.489,0.508,0.437,0.442,0.486,0.532,0.651,0.505,0.697,0.682,0.725,0.837,0.69,0.521,0.489,0.455,0.457,0.511,0.503,0.53,0.54,0.449,0.468,0.916,0.0
0.396,0.616,0.041,0.012,0.013,0.016,0.021,0.016,0.065,0.01,0.01,0.009,0.012,0.009,0.013,0.016,0.019,0.009,0.01,0.014,0.021,0.715,0.164,0.289,0.504,0.358,0.375,0.392,0.012,0.011,0.005,0.01,0.019,0.012,0.012,0.013,0.005,0.007,1.0,0.0
0.228,0.36,0.008,0.008,0.011,0.011,0.032,0.011,0.086,0.009,0.009,0.009,0.011,0.009,0.009,0.011,0.012,0.008,0.009,0.009,0.015,0.477,0.02,0.428,0.135,0.344,0.042,0.478,0.009,0.008,0.008,0.009,0.01,0.009,0.008,0.008,0.008,0.008,1.0,0.0
0.313,0.579,0.001,0.0,0.0,0.016,0.008,0.006,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.009,0.216,0.013,0.345,0.014,0.264,0.054,0.333,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.0,0.0,0.0,1.0,0.0
0.014,0.23,0.001,0.001,0.001,0.004,0.011,0.002,0.13,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.003,0.19,0.001,0.409,0.002,0.015,0.001,0.305,0.001,0.001,0.0,0.001,0.002,0.001,0.001,0.001,0.0,0.0,1.0,0.0
0.666,1.0,0.162,0.158,0.162,0.185,0.183,0.173,0.462,0.15,0.147,0.146,0.157,0.141,0.161,0.153,0.162,0.141,0.141,0.163,0.165,0.217,0.248,0.225,0.246,0.406,0.602,0.377,0.168,0.158,0.147,0.152,0.168,0.162,0.2,0.179,0.145,0.151,0.688,0.0
0.715,0.958,0.336,0.23,0.015,0.062,0.158,0.022,0.094,0.011,0.011,0.01,0.013,0.011,0.1,0.044,0.017,0.012,0.011,0.128,0.022,0.112,0.119,0.181,0.446,0.194,1.0,0.254,0.133,0.08,0.013,0.016,0.084,0.112,0.108,0.178,0.012,0.014,0.445,0.0
0.704,1.0,0.443,0.004,0.0,0.001,0.003,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.003,0.473,0.181,0.004,0.876,0.026,0.917,0.113,0.015,0.002,0.0,0.0,0.001,0.013,0.068,0.002,0.0,0.0,0.684,0.0
0.777,1.0,0.215,0.178,0.164,0.301,0.278,0.266,0.456,0.141,0.126,0.141,0.144,0.129,0.212,0.185,0.228,0.142,0.14,0.225,0.237,0.321,0.245,0.473,0.315,0.397,0.642,0.468,0.165,0.18,0.103,0.168,0.265,0.188,0.196,0.23,0.1,0.117,0.763,0.0
