Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Whole_set
0.684,1.0,0.012,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.024,0.0,0.003,0.257,0.414,0.095,0.0,0.065,0.0,0.0,0.0,0.026,0.041,0.0,0.0,0.0,0.625,0.0
0.667,0.976,0.001,0.0,0.0,0.0,0.0,0.0,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277,0.062,0.018,0.008,0.452,0.29,0.177,0.0,0.002,0.0,0.0,0.0,0.02,0.083,0.0,0.0,0.0,1.0,0.0
0.454,0.635,0.022,0.0,0.0,0.001,0.002,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.773,0.084,0.209,0.36,0.415,0.247,0.296,0.0,0.0,0.0,0.0,0.0,0.004,0.019,0.0,0.0,0.0,1.0,0.0
0.231,0.373,0.0,0.0,0.0,0.001,0.006,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.002,0.358,0.046,0.336,0.001,0.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.318,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.004,0.276,0.0,0.208,0.004,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.009,0.264,0.0,0.0,0.0,0.002,0.001,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.0,0.351,0.0,0.006,0.0,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.623,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.03,0.0,0.003,0.287,0.363,0.194,0.0,0.027,0.0,0.0,0.0,0.025,0.063,0.0,0.0,0.0,0.696,0.0
0.707,1.0,0.462,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.017,0.0,0.117,0.047,0.0,0.575,0.0,0.937,0.101,0.0,0.057,0.0,0.0,0.0,0.041,0.113,0.0,0.0,0.0,0.49,0.0
0.774,1.0,0.448,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.075,0.0,0.784,0.043,0.759,0.025,0.0,0.008,0.0,0.0,0.0,0.026,0.12,0.0,0.0,0.0,0.691,0.0
0.657,1.0,0.002,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.037,0.012,0.005,0.306,0.313,0.208,0.0,0.0,0.0,0.0,0.0,0.007,0.037,0.0,0.0,0.0,0.88,0.0
