Rold,Rnew,RMSE,CVrmse,MAE
0.3297096435841438,0.42081664718518974,0.3933539736002866,43.30899791910671,0.3004071760908796
0.2154071783564716,0.1866832672605062,0.453199637851111,51.303199417134394,0.2981167620694388
0.7841395700740386,0.8324917632400208,0.23003991392519826,24.832267054400027,0.20483356924225676
0.8223900582760844,0.8612356645575285,0.17167430881970702,19.53341588049575,0.14643596975321313
0.5575824734952777,0.8121673811701167,0.23838930400589944,26.23626952878244,0.18796803794218248
0.391450035393601,0.2540568567879571,0.44815941140017707,49.22800070302645,0.3293258088923026
0.8411648620551202,0.848946637363069,0.1794831651327272,20.665879692887412,0.1416692386058305
0.6867016832727122,0.7801934200551398,0.2339334511081238,25.84900012244462,0.20235233956262239
0.658744015886741,0.658744015886741,0.3055470752726395,33.89788659244371,0.2353781812109777
0.4475766927504441,0.375389930735889,0.39950501743002703,42.61955113268724,0.2952282667834518
