Rold,Rnew,RMSE,CVrmse,MAE
0.1968251597988453,0.3571219808287909,0.6270149481182276,-484.34870947960644,0.5372204646185008
0.5851351692628582,0.6235215676996956,0.585630614419555,-3645.138842535066,0.45510587304030736
0.5356028882901259,0.5218486795029497,0.5873344198636906,-305.2880578568605,0.4686606961549916
0.6775232892424938,0.6897051027813286,0.4465426561316549,-250.48411599748835,0.3835176917871959
0.46046297709340855,0.625138640132533,0.6127645585952778,557.4245310765314,0.5211443761355341
0.32104633022805407,0.5373983583390616,0.7676465820879885,835.0782817260405,0.5901758157708168
0.6235102810786954,0.4990250607507156,0.5966931130148901,-1768.2587859936584,0.4659963157477742
0.5349520109163829,0.6352093638577172,0.6019096624762055,-745.0235989691604,0.5051048614144851
0.5472954991767744,0.6468372355646196,0.6834263231447104,484.9409344623841,0.5282409369944506
0.607274336953346,0.5042609619337499,0.7278892800761451,-1833.6320628525298,0.6573268827295579
