scenario1,scenario2,scenario3,scenario4,scenario5,scenario6
-0.141,0.004,-0.163,-0.206,-0.077,-0.037
0.703,0.325,0.716,0.369,0.659,0.512
0.142,-0.07,0.144,-0.037,-0.134,0.016
0.238,0.346,0.201,0.325,0.513,0.527
0.245,0.438,0.36,0.266,0.245,0.248
0.318,0.239,0.337,0.267,0.209,0.073
-0.23,0.09,0.149,0.016,0.113,0.048
0.312,0.452,0.4,0.265,0.552,0.105
0.859,0.812,0.853,0.827,0.777,0.793
0.821,0.833,0.829,0.834,0.788,0.868
0.747,0.791,0.687,0.798,0.818,0.761
0.737,0.592,0.699,0.56,0.674,0.429
0.807,0.809,0.803,0.824,0.779,0.833
0.781,0.806,0.794,0.806,0.825,0.81
0.736,0.781,0.689,0.798,0.819,0.672
0.689,0.709,0.704,0.697,0.797,0.497
0.133,0.12,0.224,0.054,0.071,0.24
-0.086,-0.0,0.135,-0.136,0.055,0.192
0.371,0.522,0.393,0.089,0.447,0.246
0.263,0.356,0.289,0.241,0.383,-0.054
0.26,0.07,0.265,-0.155,0.352,-0.024
0.286,0.237,0.291,-0.106,0.29,0.068
0.047,0.223,0.05,0.265,0.237,-0.283
-0.051,-0.267,-0.052,-0.141,0.212,-0.358
0.453,0.324,0.49,0.354,0.398,-0.126
-0.341,0.335,-0.251,0.29,0.266,-0.493
0.694,0.516,0.67,0.609,0.589,0.537
0.701,0.547,0.697,0.548,0.569,0.541
0.767,0.735,0.783,0.71,0.734,0.375
0.802,0.763,0.83,0.743,0.452,0.383
0.806,0.752,0.815,0.735,0.68,0.492
0.735,0.791,0.724,0.763,0.692,0.519
0.794,0.629,0.8,0.54,0.706,0.546
0.209,-0.067,0.219,-0.072,-0.011,-0.024
0.582,0.455,0.595,0.48,0.321,0.378
0.82,0.639,0.84,0.679,0.601,0.517
0.581,0.564,0.571,0.608,0.566,0.457
0.584,0.528,0.549,0.511,0.538,0.608
0.82,0.678,0.838,0.638,0.4,0.719
0.702,0.525,0.704,0.507,0.157,0.612
0.718,0.705,0.695,0.673,0.556,0.532
0.635,0.668,0.642,0.66,0.388,0.622
0.729,0.64,0.728,0.584,0.655,0.578
0.041,-0.075,0.12,-0.116,-0.07,0.022
0.599,0.077,0.605,0.231,0.238,0.37
0.78,0.629,0.77,0.655,0.531,0.598
