scenario1,scenario2,scenario3,scenario4,scenario5,scenario6
2.02,1.829,1.998,1.989,1.895,1.975
0.492,0.669,0.47,0.631,0.456,0.519
0.142,0.164,0.141,0.158,0.172,0.15
29.615,25.939,30.925,28.015,19.774,20.273
6.078,5.179,5.543,5.9,5.732,5.504
1.035,1.097,1.03,1.09,1.143,1.256
36.183,33.403,31.927,36.234,32.915,33.633
0.4,0.345,0.351,0.388,0.291,0.452
2.291,2.402,2.392,2.316,2.816,3.082
0.474,0.445,0.461,0.458,0.516,0.323
18.779,14.552,20.571,14.284,13.953,15.865
0.23,0.269,0.259,0.285,0.251,0.331
2.602,2.439,2.653,2.357,2.823,2.599
0.536,0.472,0.521,0.476,0.461,0.448
19.242,14.864,20.702,14.048,14.172,19.751
0.253,0.241,0.243,0.242,0.186,0.294
3.117,3.1,2.958,3.128,3.127,2.445
2.52,2.26,2.265,2.424,2.208,2.076
0.25,0.219,0.252,0.33,0.233,0.3
0.306,0.305,0.311,0.339,0.291,0.383
68.434,78.582,68.482,93.791,61.584,80.059
41.559,46.343,41.804,58.177,42.849,51.003
1.884,1.632,1.854,1.634,1.571,2.197
0.044,0.049,0.044,0.044,0.034,0.043
0.07,0.078,0.067,0.079,0.076,0.111
37.091,23.98,35.522,25.712,25.517,39.524
1.716,2.235,1.804,1.911,1.975,2.137
1.291,1.557,1.307,1.598,1.512,1.359
0.162,0.183,0.158,0.185,0.17,0.248
0.167,0.189,0.161,0.206,0.292,0.263
35.508,44.906,35.477,45.448,48.457,53.777
29.249,26.378,29.914,28.039,30.05,33.901
0.849,1.086,0.845,1.311,0.968,1.198
0.036,0.04,0.036,0.039,0.037,0.039
0.057,0.071,0.056,0.071,0.08,0.068
12.421,18.492,11.871,17.043,18.789,20.454
1.95,2.014,1.997,1.937,2.046,2.23
1.47,1.577,1.549,1.574,1.529,1.286
0.141,0.2,0.136,0.217,0.266,0.171
0.21,0.269,0.209,0.274,0.344,0.237
45.288,46.426,47.45,49.138,56.234,51.803
31.59,31.52,31.546,31.45,43.929,31.112
0.992,1.105,0.972,1.222,1.031,1.18
0.041,0.037,0.038,0.038,0.04,0.038
0.058,0.092,0.058,0.089,0.086,0.071
14.214,18.95,14.702,17.559,21.479,18.792
