scenario1,scenario2,scenario3,scenario4,scenario5,scenario6
10.062,9.404,10.16,10.345,9.776,9.594
33.075,49.852,32.337,48.211,35.44,42.389
7.434,8.304,7.424,8.172,8.546,7.96
57.406,53.195,58.791,54.026,45.901,45.217
11.856,10.226,10.913,11.689,11.85,11.827
27.541,29.096,27.158,28.567,29.666,32.116
47.033,40.46,39.133,42.063,39.943,41.382
20.69,18.472,19.334,21.388,16.708,23.603
5.128,5.908,5.225,5.675,6.442,6.201
14.104,13.625,13.808,13.592,15.36,12.099
21.35,19.369,23.744,19.057,18.08,20.742
12.805,15.931,13.681,16.552,14.246,18.849
5.986,5.954,6.049,5.73,6.418,5.571
15.612,14.684,15.158,14.704,13.94,14.547
21.782,19.852,23.634,19.059,18.029,24.293
13.911,13.471,13.58,13.74,11.253,17.689
27.292,27.505,25.835,28.513,28.258,25.559
39.068,37.501,34.871,39.956,36.45,33.7
28.638,24.963,28.142,34.476,26.87,31.356
47.862,44.739,47.02,48.575,43.775,57.233
49.638,55.635,49.46,61.994,46.424,58.365
72.475,74.926,72.261,90.215,72.293,82.813
29.483,26.633,29.447,25.904,26.381,34.22
10.659,11.704,10.661,11.104,9.23,12.113
7.207,8.008,6.955,7.83,7.555,10.334
43.402,30.557,41.914,31.586,32.121,45.8
16.224,20.396,16.839,18.34,18.785,19.96
20.495,25.232,20.643,25.194,24.624,25.393
17.438,18.581,16.833,19.462,18.627,28.55
24.838,27.148,22.991,28.237,41.289,43.793
25.383,28.734,24.787,29.683,32.644,41.126
44.198,39.224,45.071,41.76,47.573,59.513
13.723,18.402,13.5,20.496,16.374,20.366
9.244,10.74,9.185,10.762,10.455,10.522
6.295,7.189,6.197,7.023,8.029,7.683
15.923,22.525,15.007,21.235,23.674,26.058
18.979,19.356,19.214,18.364,19.315,21.602
24.195,25.757,25.18,26.225,25.497,23.484
15.313,20.5,14.521,21.72,27.983,19.142
30.446,38.44,30.321,39.134,51.181,34.747
30.659,31.346,31.856,32.971,38.455,39.487
51.83,49.432,51.319,49.987,67.116,52.722
15.739,18.126,15.761,19.477,17.742,19.626
10.182,10.78,9.754,10.98,10.756,10.282
6.169,9.359,6.119,8.543,8.5,7.733
17.594,22.823,17.985,22.024,25.681,23.771
