scenario1,scenario2,scenario3,scenario4
2.02,1.918,2.078,1.998
0.57,0.548,0.548,0.519
0.14,0.147,0.139,0.149
22.114,20.597,23.04,19.188
5.382,5.664,4.927,5.144
1.072,0.997,1.021,1.068
39.711,29.055,35.712,29.113
0.408,0.286,0.402,0.278
2.635,2.343,2.907,2.182
0.41,0.4,0.38,0.394
15.979,13.822,15.733,15.203
0.246,0.261,0.266,0.277
3.154,2.278,2.892,2.196
0.457,0.424,0.418,0.402
16.778,15.878,16.554,16.586
0.221,0.227,0.214,0.221
3.585,3.262,3.211,3.133
2.399,1.969,2.293,2.031
0.264,0.233,0.266,0.216
0.309,0.344,0.333,0.327
68.697,63.532,69.139,69.729
42.841,43.332,42.037,48.804
2.167,1.406,2.164,1.376
0.04,0.039,0.04,0.043
0.07,0.077,0.067,0.082
35.917,24.58,35.597,24.871
1.547,1.976,1.539,1.956
1.279,1.532,1.261,1.549
0.16,0.203,0.17,0.207
0.167,0.202,0.167,0.225
35.625,42.303,43.026,42.174
27.588,28.261,27.51,33.129
0.821,1.017,0.877,1.007
0.041,0.037,0.041,0.039
0.057,0.071,0.057,0.073
12.497,18.732,12.896,17.903
2.025,2.015,2.055,2.06
1.363,1.531,1.323,1.544
0.171,0.152,0.155,0.144
0.219,0.212,0.227,0.203
50.16,43.366,51.322,47.777
30.287,31.709,30.257,31.174
1.124,1.097,0.99,1.062
0.046,0.034,0.045,0.033
0.06,0.086,0.058,0.086
15.917,18.183,14.354,17.424
