scenario1,scenario2,scenario3,scenario4
-0.139,0.056,-0.176,-0.106
0.574,0.666,0.598,0.71
0.143,0.035,0.145,0.015
0.526,0.634,0.483,0.677
0.384,0.383,0.447,0.455
0.27,0.44,0.311,0.375
-0.368,0.375,-0.001,0.382
0.274,0.563,0.282,0.589
0.833,0.823,0.816,0.834
0.853,0.872,0.865,0.871
0.808,0.828,0.809,0.79
0.71,0.668,0.685,0.637
0.781,0.824,0.814,0.831
0.836,0.856,0.853,0.865
0.768,0.787,0.772,0.77
0.749,0.735,0.769,0.745
-0.176,0.051,-0.017,0.1
-0.078,0.322,0.022,0.259
0.315,0.517,0.331,0.564
0.245,0.275,0.204,0.293
0.254,0.454,0.257,0.334
0.224,0.352,0.286,0.215
-0.215,0.417,-0.206,0.466
0.014,0.017,0.011,-0.107
0.449,0.383,0.49,0.312
-0.307,0.401,-0.329,0.403
0.722,0.601,0.724,0.601
0.686,0.626,0.708,0.605
0.779,0.627,0.764,0.54
0.802,0.729,0.815,0.693
0.806,0.771,0.752,0.766
0.771,0.751,0.73,0.678
0.806,0.736,0.798,0.704
0.001,0.138,0.022,-0.042
0.582,0.474,0.587,0.473
0.815,0.655,0.823,0.681
0.589,0.595,0.589,0.587
0.648,0.615,0.662,0.581
0.772,0.826,0.808,0.825
0.711,0.723,0.663,0.73
0.648,0.759,0.636,0.71
0.713,0.673,0.719,0.69
0.672,0.707,0.708,0.689
-0.145,0.132,-0.112,0.14
0.574,0.186,0.597,0.207
0.745,0.684,0.784,0.704
