scenario1,scenario2,scenario3,scenario4
10.053,9.153,10.218,9.906
39.64,35.076,38.505,32.698
7.429,7.885,7.421,7.965
45.263,39.806,47.292,37.393
10.708,10.716,10.141,10.073
28.497,24.97,27.689,26.365
49.606,33.523,42.441,33.339
21.255,16.493,21.14,15.992
5.582,5.74,5.845,5.563
12.769,11.919,12.273,11.995
18.561,17.579,18.524,19.413
13.439,14.376,14.001,15.039
6.386,5.73,5.88,5.61
13.491,12.651,12.776,12.278
20.437,19.587,20.265,20.334
12.512,12.839,11.999,12.61
31.799,28.564,29.567,27.814
38.935,30.873,37.074,32.268
29.897,25.098,29.535,23.852
48.445,47.458,49.742,46.886
49.816,42.626,49.716,47.076
75.555,69.066,72.497,76.028
33.294,23.075,33.178,22.083
10.324,10.309,10.341,10.936
7.228,7.648,6.956,8.082
42.845,28.997,43.208,28.969
15.446,18.52,15.394,18.511
21.016,22.94,20.271,23.575
16.966,22.06,17.541,24.488
24.792,29.042,23.984,30.876
25.434,27.618,28.714,27.918
41.088,42.788,44.59,48.652
13.315,15.528,13.567,16.429
10.392,9.652,10.281,10.612
6.3,7.065,6.262,7.069
16.099,22.017,15.748,21.179
18.804,18.653,18.803,18.848
22.237,23.274,21.812,24.262
17.252,15.083,15.841,15.091
29.978,29.332,32.368,28.954
34.249,28.33,34.787,31.051
45.948,49.077,45.491,47.792
17.303,16.348,16.328,16.853
11.123,9.687,10.961,9.642
6.36,8.788,6.181,8.673
18.942,21.063,17.438,20.376
