Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH31,Red_BBCH31,RedEdge_BBCH31,NIR_BBCH31,DVI_BBCH31,NDVI_BBCH31,RVI_BBCH31,mSR_BBCH31,TNDVI_BBCH31,RDVI_BBCH31,SAVI_BBCH31,OSAVI_BBCH31,MSAVI2_BBCH31,gDVI_BBCH31,gNDVI_BBCH31,gRDVI_BBCH31,mSR_G_BBCH31,GSAVI_BBCH31,MGSAVI_BBCH31,NGI_BBCH31,GWDRVI_BBCH31,CI_G_BBCH31,CI_RE_BBCH31,TCARI_BBCH31,MCARI1_BBCH31,MCARI2_BBCH31,MTCARI_BBCH31,TCARIOSAVI_BBCH31,REDVI_BBCH31,NDRE_BBCH31,RERDVI_BBCH31,NNIR_BBCH31,REGNDVI_BBCH31,REWDRVI_BBCH31,MSR_RE_BBCH31,MEVI_BBCH31,RESAVI_BBCH31,MRESAVI_BBCH31,MRETVI_BBCH31,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
0.006,0.379,0.001,0.002,0.002,0.002,0.003,0.001,0.003,0.003,0.003,0.002,0.003,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.0,0.003,0.003,0.001,0.003,0.002,0.003,0.002,0.001,0.002,0.003,0.003,0.0,0.003,0.002,0.0,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.003,0.003,0.003,0.002,0.001,0.002,0.003,0.003,0.002,0.002,0.001,0.002,0.003,0.003,0.003,0.001,0.011,0.009,0.003,0.002,0.004,0.038,0.003,0.002,1.0,0.013,0.014,0.022,0.009,0.003,0.023,0.002,0.003,0.008,0.004,0.108,0.004,0.002,0.003,0.002,0.002,0.012,0.004,0.001,0.001,0.002,0.003,0.006,0.011,0.003,0.002,0.002,0.002,0.002,0.002,0.0
0.003,0.023,0.002,0.002,0.002,0.033,0.003,0.001,0.038,0.002,0.002,0.002,0.003,0.002,0.004,0.006,0.005,0.004,0.005,0.005,0.006,0.01,0.006,0.002,0.003,0.002,0.006,0.024,0.004,0.006,0.003,0.002,0.009,0.006,0.006,0.004,0.003,0.003,0.279,0.045,0.019,0.013,0.006,0.006,0.001,0.002,0.002,0.002,0.006,0.005,0.005,0.002,0.002,0.005,0.003,0.005,0.003,0.005,0.005,0.007,0.014,0.002,0.042,0.003,0.006,0.069,0.007,0.003,0.007,0.006,0.002,0.001,0.002,0.003,0.005,0.006,0.006,0.067,0.009,0.612,0.032,0.01,0.018,0.279,0.006,0.004,1.0,0.045,0.038,0.067,0.023,0.01,0.037,0.002,0.001,0.015,0.009,0.034,0.002,0.001,0.006,0.003,0.006,0.042,0.013,0.001,0.003,0.004,0.005,0.003,0.02,0.006,0.005,0.002,0.003,0.001,0.002,0.0
0.021,0.01,0.014,0.01,0.025,0.09,0.016,0.024,0.096,0.037,0.033,0.03,0.037,0.027,0.128,0.096,0.247,0.038,0.045,0.132,0.277,0.376,0.021,0.065,0.035,0.023,0.026,0.307,0.011,0.023,0.009,0.054,0.234,0.022,0.023,0.024,0.01,0.014,0.48,0.473,0.181,0.275,0.202,0.11,0.011,0.188,0.07,0.012,0.017,0.027,0.009,0.061,0.119,0.025,0.25,0.198,0.065,0.113,0.022,0.257,0.495,0.156,1.0,0.208,0.055,0.217,0.506,0.099,0.123,0.076,0.014,0.051,0.145,0.143,0.038,0.064,0.066,0.336,0.01,0.167,0.535,0.123,0.109,0.042,0.025,0.016,0.049,0.081,0.083,0.069,0.049,0.105,0.029,0.028,0.01,0.07,0.062,0.037,0.01,0.006,0.026,0.017,0.023,0.028,0.022,0.011,0.015,0.023,0.019,0.01,0.083,0.025,0.025,0.011,0.022,0.012,0.012,0.0
0.019,0.021,0.017,0.022,0.029,0.053,0.011,0.01,0.055,0.054,0.047,0.042,0.051,0.051,0.11,0.078,0.239,0.055,0.067,0.123,0.273,0.374,0.015,0.117,0.028,0.032,0.026,0.41,0.021,0.024,0.016,0.032,0.246,0.018,0.023,0.015,0.013,0.012,0.638,0.626,0.174,0.163,0.12,0.049,0.01,0.121,0.032,0.01,0.005,0.002,0.012,0.018,0.073,0.017,0.235,0.216,0.036,0.083,0.014,0.281,0.531,0.09,1.0,0.135,0.017,0.246,0.493,0.061,0.065,0.026,0.007,0.053,0.081,0.075,0.026,0.023,0.023,0.427,0.028,0.25,0.762,0.168,0.14,0.112,0.015,0.011,0.126,0.129,0.139,0.147,0.089,0.141,0.076,0.035,0.014,0.124,0.109,0.085,0.016,0.013,0.025,0.014,0.017,0.063,0.017,0.017,0.009,0.014,0.014,0.025,0.106,0.019,0.015,0.013,0.014,0.015,0.019,0.0
0.005,0.044,0.004,0.005,0.003,0.046,0.002,0.002,0.052,0.007,0.004,0.006,0.005,0.018,0.035,0.033,0.049,0.023,0.028,0.044,0.056,0.081,0.005,0.032,0.003,0.005,0.009,0.271,0.003,0.008,0.002,0.003,0.071,0.007,0.008,0.002,0.001,0.001,1.0,0.498,0.058,0.064,0.026,0.003,0.002,0.005,0.005,0.002,0.006,0.002,0.002,0.003,0.002,0.0,0.035,0.048,0.0,0.006,0.001,0.067,0.148,0.01,0.709,0.016,0.006,0.317,0.095,0.013,0.006,0.003,0.006,0.003,0.008,0.006,0.013,0.007,0.002,0.398,0.023,0.553,0.918,0.066,0.069,0.64,0.002,0.002,0.893,0.117,0.117,0.281,0.061,0.057,0.091,0.017,0.013,0.069,0.056,0.105,0.017,0.002,0.007,0.002,0.02,0.073,0.026,0.004,0.003,0.002,0.001,0.013,0.12,0.004,0.002,0.001,0.0,0.002,0.005,0.003
0.003,0.015,0.006,0.007,0.005,0.013,0.002,0.002,0.014,0.012,0.009,0.009,0.01,0.02,0.02,0.024,0.039,0.02,0.026,0.027,0.045,0.063,0.0,0.028,0.006,0.009,0.001,0.075,0.005,0.001,0.002,0.003,0.047,0.0,0.001,0.001,0.002,0.002,0.842,0.514,0.028,0.026,0.012,0.0,0.002,0.009,0.002,0.002,0.0,0.0,0.001,0.002,0.005,0.0,0.036,0.048,0.0,0.005,0.0,0.065,0.12,0.01,1.0,0.015,0.0,0.095,0.083,0.011,0.003,0.0,0.002,0.01,0.009,0.007,0.013,0.0,0.0,0.163,0.014,0.832,0.529,0.031,0.028,0.092,0.0,0.002,0.105,0.037,0.037,0.053,0.022,0.023,0.018,0.005,0.004,0.026,0.025,0.019,0.005,0.005,0.001,0.003,0.007,0.028,0.01,0.005,0.003,0.002,0.001,0.009,0.025,0.001,0.001,0.003,0.001,0.004,0.006,0.002
0.013,0.184,0.002,0.002,0.002,0.043,0.004,0.001,0.053,0.002,0.003,0.002,0.002,0.002,0.004,0.006,0.002,0.003,0.001,0.006,0.002,0.002,0.004,0.002,0.003,0.003,0.004,0.022,0.004,0.004,0.003,0.001,0.005,0.004,0.004,0.002,0.003,0.002,0.038,0.008,0.024,0.002,0.003,0.004,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.002,0.002,0.004,0.003,0.004,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.002,0.004,0.017,0.004,0.003,0.004,0.004,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.012,0.075,0.051,0.051,0.02,0.023,0.254,0.004,0.001,1.0,0.069,0.071,0.128,0.041,0.017,0.137,0.004,0.012,0.058,0.032,0.515,0.017,0.001,0.004,0.002,0.003,0.047,0.002,0.001,0.0,0.003,0.001,0.008,0.122,0.004,0.003,0.002,0.0,0.0,0.002,0.001
0.605,1.0,0.165,0.103,0.02,0.011,0.021,0.023,0.016,0.023,0.014,0.02,0.016,0.057,0.02,0.02,0.02,0.028,0.027,0.019,0.021,0.021,0.009,0.642,0.022,0.024,0.647,0.153,0.042,0.027,0.034,0.021,0.021,0.014,0.02,0.134,0.023,0.024,0.022,0.109,0.013,0.025,0.003,0.012,0.373,0.033,0.077,0.438,0.054,0.018,0.147,0.019,0.021,0.138,0.021,0.075,0.013,0.018,0.169,0.061,0.051,0.022,0.022,0.023,0.026,0.011,0.021,0.027,0.007,0.062,0.215,0.06,0.018,0.014,0.084,0.081,0.054,0.014,0.029,0.025,0.167,0.121,0.035,0.023,0.01,0.0,0.023,0.043,0.096,0.081,0.072,0.045,0.047,0.067,0.042,0.118,0.095,0.113,0.038,0.073,0.144,0.016,0.06,0.038,0.071,0.013,0.031,0.164,0.138,0.077,0.136,0.143,0.145,0.196,0.16,0.132,0.03,0.023
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.006,0.008,0.001,0.001,0.001,0.013,0.03,0.001,0.001,0.004,0.001,0.001,0.006,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.057,0.016,0.001,0.642,0.04,0.013,0.001,0.017,0.003,0.001,0.0,0.0,0.002,0.003,0.003,0.001,0.01,0.004,0.0,0.001,0.001,0.008,0.032,0.012,1.0,0.027,0.007,0.227,0.034,0.006,0.013,0.002,0.001,0.0,0.012,0.012,0.01,0.001,0.002,0.061,0.001,0.029,0.015,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.005,0.215,0.0,0.0,0.0,0.072,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.002,0.008,0.019,0.003,0.003,0.002,0.015,0.002,0.002,0.001,0.003,0.0,0.0,0.001,0.074,0.0,0.001,0.0,0.0,0.02,0.001,0.001,0.0,0.0,0.0,0.425,0.055,0.037,0.035,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.002,0.008,0.002,0.047,0.001,0.001,0.118,0.016,0.004,0.002,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.095,0.115,0.218,0.205,0.029,0.028,0.489,0.001,0.0,1.0,0.107,0.106,0.195,0.043,0.01,0.202,0.0,0.001,0.076,0.033,0.249,0.001,0.0,0.001,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.002,0.243,0.001,0.0,0.0,0.0,0.0,0.001,0.001
