Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Whole_set
0.168,1.0,0.001,0.0,0.002,0.058,0.004,0.0,0.106,0.002,0.002,0.001,0.002,0.0,0.009,0.007,0.003,0.001,0.0,0.006,0.002,0.001,0.004,0.001,0.002,0.001,0.004,0.005,0.004,0.004,0.003,0.0,0.005,0.004,0.004,0.001,0.002,0.0,0.034,0.001
0.002,0.369,0.001,0.001,0.001,0.358,0.0,0.0,0.471,0.001,0.0,0.001,0.001,0.014,0.028,0.083,0.009,0.019,0.013,0.015,0.009,0.015,0.003,0.011,0.001,0.005,0.003,0.144,0.001,0.003,0.0,0.0,0.016,0.003,0.003,0.001,0.0,0.0,1.0,0.003
0.002,0.002,0.002,0.002,0.004,0.01,0.001,0.002,0.017,0.006,0.005,0.004,0.006,0.005,0.011,0.011,0.025,0.005,0.006,0.012,0.058,0.56,0.002,0.008,0.005,0.003,0.003,0.237,0.002,0.002,0.002,0.003,0.022,0.002,0.002,0.003,0.001,0.002,1.0,0.0
0.003,0.012,0.007,0.014,0.012,0.013,0.001,0.0,0.016,0.038,0.031,0.027,0.033,0.035,0.024,0.028,0.123,0.033,0.046,0.045,0.154,0.254,0.003,0.081,0.013,0.021,0.015,0.436,0.009,0.012,0.006,0.003,0.127,0.006,0.01,0.004,0.002,0.001,1.0,0.001
0.025,0.188,0.031,0.036,0.02,0.169,0.011,0.007,0.196,0.031,0.022,0.032,0.022,0.079,0.088,0.134,0.111,0.092,0.102,0.126,0.13,0.204,0.019,0.122,0.021,0.034,0.033,0.456,0.018,0.031,0.016,0.0,0.183,0.026,0.03,0.013,0.014,0.012,1.0,0.037
0.0,0.077,0.008,0.013,0.001,0.016,0.0,0.0,0.026,0.025,0.008,0.012,0.009,0.08,0.004,0.082,0.079,0.072,0.101,0.045,0.113,0.233,0.0,0.127,0.001,0.017,0.0,0.333,0.002,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,1.0,0.005
0.051,1.0,0.001,0.001,0.001,0.381,0.004,0.001,0.491,0.001,0.001,0.001,0.001,0.002,0.013,0.029,0.003,0.005,0.003,0.023,0.002,0.001,0.004,0.003,0.001,0.001,0.004,0.143,0.003,0.004,0.002,0.0,0.017,0.004,0.004,0.001,0.001,0.0,0.365,0.001
0.773,1.0,0.212,0.139,0.033,0.0,0.029,0.027,0.009,0.023,0.004,0.017,0.015,0.093,0.047,0.048,0.032,0.063,0.059,0.05,0.029,0.028,0.008,0.738,0.029,0.029,0.701,0.195,0.058,0.026,0.06,0.062,0.035,0.013,0.019,0.163,0.04,0.034,0.027,0.022
0.003,0.003,0.003,0.002,0.004,0.001,0.002,0.001,0.001,0.004,0.002,0.003,0.004,0.004,0.0,0.016,0.013,0.001,0.004,0.0,0.032,0.632,0.003,0.002,0.016,0.007,0.003,0.008,0.003,0.003,0.002,0.001,0.0,0.003,0.003,0.003,0.003,0.003,1.0,0.001
0.021,1.0,0.003,0.003,0.002,0.258,0.004,0.002,0.403,0.002,0.001,0.005,0.002,0.013,0.033,0.047,0.018,0.021,0.017,0.045,0.017,0.018,0.008,0.021,0.002,0.004,0.008,0.188,0.004,0.008,0.002,0.0,0.057,0.008,0.008,0.002,0.002,0.002,0.978,0.006
