Rold,Rnew,RMSE,CVrmse,MAE
0.5660144137213228,0.6338465815739441,0.5626266525842616,-134629.95101902378,0.4736659277887666
0.6753279306635507,0.7215160511402606,0.4949599269328272,-867.9420928100291,0.43820076762527305
0.8639685938105658,0.9016886887253892,0.29149350683292924,-558.827017994266,0.26236952016676546
0.5850497094514997,0.5806546981256278,0.7068028357566924,793.6243311523923,0.5763326743268637
0.4502312178765825,0.4785921343224083,0.7739719208879089,1851.9999073230515,0.6338640137433134
0.7877701050806367,0.8425053926337953,0.39149571609500344,3680.521267103445,0.2951507072858862
0.7921137695902013,0.8546849994916654,0.4050240445092899,1986.280216398462,0.3189602861213625
0.8014903260496139,0.868632146538814,0.38197431960967937,360.3585020961489,0.2749835236561692
0.5816508349259635,0.6290721392116084,0.5839697984653555,-9612961.080909546,0.4438657335327471
0.605843562173032,0.6305030001785331,0.5699939191592615,-3696.4791045783054,0.47919540226667234
