C,Epsilon,Omega,Kernel_alignment
0.0001,1.0,0.1,0.36154654428193217
0.0001,1.0,1.0,0.3708270450380355
0.0001,1.0,0.001,0.3671020834115149
0.0001,1.0,1.0,0.3658157126947249
0.0001,1.0,100.0,0.3727020454072467
0.0001,10.0,1.0,0.36318418024775934
0.0001,1.0,1.0,0.3645593136114336
0.0001,1.0,1.0,0.3674620359881135
0.0001,1.0,1.0,0.3668453957056517
0.0001,1.0,1.0,0.36535064504604287
0.0001,10.0,1000.0,0.4043646628718506
0.0001,1.0,1.0,0.39628942285161284
0.0001,1.0,100.0,0.39380006722434635
0.0001,1.0,0.001,0.4050704351777984
0.0001,1.0,1.0,0.4009886176506186
0.0001,1.0,100.0,0.39575454027335316
0.0001,10.0,100.0,0.3913167175039055
0.0001,10.0,100.0,0.39305251070015346
0.0001,10.0,100.0,0.3953363998320184
0.0001,1.0,0.0001,0.3955425421557403
0.0001,1.0,0.001,0.38556201645460086
0.0001,10.0,100.0,0.38226166201997164
0.0001,1.0,0.01,0.394815349397074
0.0001,1.0,0.1,0.3836857835384213
0.0001,1.0,100.0,0.39175260842166965
0.0001,1.0,100.0,0.3894926107819664
0.0001,1.0,100.0,0.3892762219297699
0.0001,1.0,1.0,0.3920565333559632
0.0001,10.0,100.0,0.3938646603307352
0.0001,1.0,1.0,0.39627873432390254
0.0001,1.0,1.0,0.3876535726607802
0.0001,1.0,0.001,0.3887538255176063
0.0001,1.0,1.0,0.3945775830209306
0.0001,10.0,1000.0,0.3875798387516666
0.0001,1.0,100.0,0.37948435317428936
0.0001,1.0,1.0,0.37998802952741983
0.0001,1.0,1.0,0.37808790225502137
0.0001,1.0,1.0,0.3795637048216687
0.0001,1.0,1.0,0.3814802162039994
0.0001,1.0,0.1,0.37916264819575235
