C,Epsilon,Omega,Kernel_alignment
0.1,1000.0,100.0,0.8914725847790734
0.1,100.0,10.0,0.8918718834018282
0.1,1000.0,1000.0,0.888674317609122
0.1,10000.0,100.0,0.8883018680992909
0.1,1000.0,100.0,0.8876507301689449
0.1,10000.0,100.0,0.8928407259655986
0.0001,1000.0,0.0001,0.8915853273512986
0.1,100.0,10.0,0.8888399069581046
0.1,100.0,10.0,0.8888174449785473
0.0001,100.0,1.0,0.8882655299925885
0.1,1000.0,100.0,0.8834004422113192
0.1,10000.0,100.0,0.8848921315542837
0.1,1000.0,100.0,0.8825430554648929
0.1,1000.0,100.0,0.8825419831942513
0.1,1000.0,100.0,0.8835636348810559
0.0001,1000.0,1000.0,0.8895773975447199
0.1,100.0,10.0,0.8875733410493168
0.0001,100.0,1.0,0.8869490773056823
0.0001,1000.0,1000.0,0.8869257071239012
0.1,1000.0,1000.0,0.8878519589777216
0.1,100.0,10.0,0.8827309580212418
0.1,1000.0,100.0,0.8829568303040001
0.0001,1000.0,0.0001,0.8826857410519034
0.1,1000.0,100.0,0.8827839250530954
0.1,10000.0,1.0,0.8830763862384161
0.0001,100.0,1.0,0.8835099291893496
0.1,100.0,10.0,0.8841840203077426
0.0001,100.0,10.0,0.8854775146474273
0.1,1000.0,100.0,0.8853569463896287
0.0001,100.0,10.0,0.8855779139619698
0.1,1000.0,100.0,0.8863833548019908
0.1,1000.0,100.0,0.8852756261239537
0.1,1000.0,1000.0,0.8870120994704098
0.1,10000.0,100.0,0.8918078207550357
0.1,10000.0,100.0,0.8891791202456071
0.1,1000.0,100.0,0.88196568327231
0.0001,100.0,1.0,0.8823098601780468
0.1,1000.0,100.0,0.8821028688719813
0.1,100.0,10.0,0.8823339769941069
0.0001,100.0,1.0,0.8823992950535264
