C,Omega,Epsilon,Kernel_alignment
0.1,100.0,0.0001,0.8374855118382096
0.0001,100.0,1000.0,0.8370484588415236
0.01,1000.0,0.0001,0.838164719913825
0.0001,1000.0,10000.0,0.8389123305622358
0.0001,1000.0,0.01,0.8381705087138537
0.01,1000.0,0.0001,0.838721465401923
0.0001,1000.0,1000.0,0.8367399551227537
0.0001,10000.0,0.0001,0.8397573370562028
0.001,1000.0,1000.0,0.8395257625396757
0.01,10000.0,0.0001,0.8375189041665012
0.01,100.0,10000.0,0.8332304019219002
0.1,1000.0,10000.0,0.8363397848309138
0.01,10.0,0.001,0.8331586268258077
0.0001,10.0,100.0,0.8347390029651789
0.01,1000.0,100.0,0.8363266095163923
0.0001,1000.0,0.1,0.8356834817650688
0.001,100.0,0.01,0.8357233568642243
0.01,100.0,0.1,0.8372011433175539
0.01,1000.0,0.01,0.8365266525849822
0.0001,1000.0,0.01,0.8362402100216687
0.1,10000.0,10000.0,0.8356281717828774
0.1,100.0,0.01,0.835393376929043
0.001,1000.0,0.001,0.8318485134152849
0.01,1000.0,10.0,0.837025219487074
0.0001,1000.0,1000.0,0.8333797127408652
0.1,10000.0,1.0,0.8368050800472057
0.001,10.0,100.0,0.8353691452520029
0.01,1000.0,1000.0,0.8362977814767603
0.0001,1000.0,0.01,0.8360082681862436
0.0001,100.0,0.001,0.837779163295823
0.001,100.0,1000.0,0.837252754440301
0.01,100.0,100.0,0.8358273189854414
0.1,10000.0,0.1,0.8443300305121275
0.01,100.0,0.001,0.8357691973363058
0.0001,1000.0,0.001,0.8316207622816081
0.0001,10000.0,0.001,0.8328418273946442
0.0001,100.0,1000.0,0.8359809238866336
0.001,10000.0,1000.0,0.8334116092238689
0.001,10000.0,0.01,0.8338255834013091
0.0001,10000.0,10000.0,0.8358257985387763
