Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Whole_set
0.634,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.114,0.0,0.032,0.273,0.518,0.151,0.002,0.0,0.0,0.0,0.0,0.014,0.046,0.0,0.0,0.0,0.602,0.0
0.609,0.981,0.001,0.0,0.0,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.159,0.065,0.054,0.472,0.411,0.255,0.0,0.0,0.0,0.0,0.0,0.006,0.046,0.0,0.0,0.0,1.0,0.0
0.384,0.613,0.027,0.0,0.0,0.0,0.001,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.729,0.157,0.267,0.5,0.355,0.362,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.211,0.347,0.0,0.0,0.0,0.0,0.023,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.008,0.422,0.109,0.351,0.025,0.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.302,0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.01,0.335,0.004,0.267,0.042,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.012,0.228,0.0,0.0,0.0,0.0,0.009,0.0,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.41,0.0,0.015,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.576,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.119,0.001,0.027,0.311,0.467,0.258,0.0,0.0,0.0,0.0,0.0,0.008,0.042,0.0,0.0,0.0,0.675,0.0
0.59,0.949,0.408,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.016,0.002,0.0,0.0,0.0,0.03,0.0,0.106,0.165,0.0,0.584,0.0,1.0,0.164,0.032,0.0,0.0,0.0,0.0,0.012,0.07,0.0,0.0,0.0,0.446,0.0
0.702,1.0,0.444,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.186,0.0,0.882,0.019,0.918,0.109,0.011,0.0,0.0,0.0,0.0,0.007,0.066,0.0,0.0,0.0,0.684,0.0
0.61,1.0,0.002,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.085,0.048,0.036,0.329,0.421,0.271,0.0,0.0,0.0,0.0,0.0,0.003,0.024,0.0,0.0,0.0,0.871,0.0
