Rold,Rnew,RMSE,CVrmse,MAE
0.5402012887600622,0.554300189910823,0.725921527247292,335.7015529845935,0.567617115398018
0.6828536617932942,0.7541323212963981,0.4753394925666783,-262.98806204390536,0.46019409576462367
0.748356461429784,0.8074265578189264,0.3933092848931188,1351.5015797273616,0.31481152090037867
0.5366909419951518,0.5355289050282106,0.49673533432111233,-164.475032067215,0.40839663156094125
0.5310445906621648,0.541608250461398,0.551239905936383,-1481.3849308701087,0.5188836970228454
0.44495487647519305,0.52059853621115,0.7369317325282772,-3621.0836840311454,0.6953860483846388
0.6150432830666446,0.5960994147180658,0.547469052694018,-3449.8631071532045,0.4585689683347316
0.33966794368604125,0.4031858995445631,0.9077390190487032,360.49712757530625,0.7264315864483469
0.6942637223956706,0.7243701534701923,0.48019998000448,8478.7666310164,0.3594150394645975
0.2588216504576992,0.2575102423111615,0.8654593555010057,287.10884080666585,0.7062336092747379
