C,Epsilon,Omega,Kernel_alignment
0.01,100.0,1.0,0.9935989026542129
0.0001,100.0,0.1,0.9897670998393013
0.01,100.0,1000.0,0.9917911994843772
0.01,1.0,0.0001,0.9904910037588093
0.0001,10.0,0.1,0.9900906149131298
0.01,1.0,0.01,0.99178798500726
0.1,100.0,1.0,0.990179716007727
0.1,1.0,0.0001,0.9914583848882431
0.01,10.0,0.1,0.9927056544319814
0.0001,10.0,1.0,0.9901055999766875
