C,Omega,Epsilon,Kernel_alignment
0.01,1000.0,0.01,0.6431086857325549
0.01,10000.0,0.001,0.6424400664975661
0.01,10000.0,100.0,0.6409610223123523
0.001,1000.0,1000.0,0.6435069270632352
0.001,1000.0,10.0,0.6396151782060746
0.0001,10000.0,0.01,0.6469337121995469
0.01,10000.0,100.0,0.6464732282912827
0.01,1000.0,0.001,0.646467824058209
0.0001,10000.0,0.01,0.6465648739180329
0.1,10000.0,10000.0,0.644925522314278
0.0001,10000.0,1.0,0.6285460260105474
0.1,1000.0,0.1,0.6258962301695093
0.01,10000.0,1000.0,0.6236454306481368
0.0001,1000.0,0.0001,0.6217990148827954
0.01,1000.0,0.01,0.6233870619706239
0.0001,1000.0,1000.0,0.6469820358027099
0.0001,10000.0,10000.0,0.6440147803358759
0.1,1000.0,1.0,0.6466429848432432
0.0001,10000.0,100.0,0.6461210221798028
0.001,10000.0,0.1,0.645996064304011
0.1,1000.0,10000.0,0.6254190445991105
0.001,1000.0,1000.0,0.6276083909076289
0.1,10000.0,0.001,0.6204184021781747
0.001,1000.0,0.1,0.6258626410526861
0.1,10000.0,0.001,0.6204051685638484
0.1,10000.0,10.0,0.6445693597562626
0.0001,10000.0,0.01,0.6455712150767401
0.001,10000.0,0.0001,0.6443664681832703
0.01,1000.0,10000.0,0.6465792973793552
0.0001,1000.0,0.1,0.644396408744268
0.1,10000.0,0.001,0.6203097119634141
0.001,1000.0,0.01,0.6310663346395364
0.001,10000.0,0.0001,0.6296568415689643
0.0001,1000.0,10000.0,0.6289863064886977
0.01,10000.0,1000.0,0.6198950022572383
0.01,10000.0,10000.0,0.6421139754148788
0.01,10000.0,10000.0,0.6401756208405477
0.001,10000.0,100.0,0.6420537299208952
0.0001,1000.0,100.0,0.6408541545944728
0.01,10000.0,100.0,0.6391946889754345
