C,Omega,Epsilon,Kernel_alignment
0.0001,100.0,0.001,0.8817449277979874
0.01,10000.0,100.0,0.8831143292131676
0.0001,100.0,10.0,0.8817172983400204
0.01,100.0,10000.0,0.8817385857369885
0.0001,10000.0,10.0,0.8786978901617544
0.001,10000.0,1000.0,0.8874393308801825
0.0001,1000.0,0.0001,0.885997038401724
0.1,1000.0,10000.0,0.8864125760801055
0.0001,10000.0,0.001,0.8877202298729644
0.0001,100.0,10000.0,0.8857176050782921
0.001,1000.0,10.0,0.8807379055319081
0.0001,10000.0,1.0,0.8790023177243109
0.0001,1000.0,10.0,0.8767962098706389
0.0001,1000.0,0.1,0.877871521627332
0.01,100.0,0.001,0.8777987287675765
0.0001,1000.0,1000.0,0.8808774451891191
0.0001,100.0,0.1,0.8809991647049081
0.1,100.0,0.0001,0.88208169116429
0.01,1000.0,1000.0,0.8810810118226703
0.001,1000.0,0.001,0.8819077989431152
0.1,1000.0,0.1,0.8784359132932182
0.1,100.0,10000.0,0.8793432649892818
0.1,10000.0,100.0,0.8771473209055405
0.01,100.0,10.0,0.8785967213580369
0.01,10000.0,0.01,0.8770363797045472
0.01,1000.0,0.001,0.8791589273344063
0.0001,100.0,0.01,0.8796192962539908
0.0001,100.0,0.0001,0.8807139952858871
0.0001,1000.0,1.0,0.8811308737857634
0.0001,1000.0,1000.0,0.8795630534658385
0.1,1000.0,0.001,0.8775041616976739
0.001,100.0,10.0,0.8829607915199398
0.01,10000.0,0.0001,0.8796720042997739
0.001,10000.0,0.0001,0.8874587044320666
0.0001,100.0,1000.0,0.8780595052440606
0.0001,10000.0,0.001,0.8779432972021383
0.0001,10000.0,0.0001,0.8785814098084102
0.01,100.0,10.0,0.8778447623546863
0.1,1000.0,10.0,0.8783774640242321
0.001,100.0,100.0,0.8782970319626644
