C,Omega,Epsilon,Kernel_alignment
0.001,10000.0,10000.0,0.9906284760021136
0.1,100.0,10000.0,0.9906529775832501
0.001,1.0,100.0,0.9905817935169338
0.1,10.0,10000.0,0.9905857616355015
0.0001,10.0,0.01,0.9905950554321914
0.1,1000.0,0.001,0.9910362000144126
0.0001,1.0,0.01,0.9910031882267053
0.0001,10.0,100.0,0.9910808156037895
0.1,10000.0,0.0001,0.9909911022068446
0.1,10000.0,0.01,0.9906331774427866
0.1,10.0,0.1,0.990653830526629
0.0001,10000.0,10000.0,0.9907918975180006
0.001,10.0,10.0,0.9905743241116305
0.01,10.0,100.0,0.9906000360157069
0.01,1.0,0.1,0.9906072619385007
0.001,100.0,10.0,0.9912935612628894
0.1,10000.0,10000.0,0.9912874115365207
0.01,100.0,100.0,0.9908997562955031
0.0001,10000.0,1000.0,0.9914255922096934
0.0001,10.0,0.1,0.9917094548730437
0.01,1000.0,10.0,0.9907402291741609
0.1,10.0,0.01,0.9906526756419802
0.01,10.0,1000.0,0.9909403181788999
0.001,1.0,1000.0,0.9906525471694362
0.1,1000.0,1.0,0.990842751853822
0.01,1.0,100.0,0.990926022978727
0.01,10.0,0.1,0.9908952327517547
0.1,10.0,0.001,0.9908133565777633
0.001,10.0,0.0001,0.9908304275893243
0.001,1.0,0.001,0.9909363741362365
0.01,10.0,100.0,0.9909688602395156
0.01,1000.0,1.0,0.9907784247718135
0.001,10000.0,0.01,0.9907844365817142
0.01,100.0,1.0,0.9922521249259624
0.0001,10000.0,0.001,0.9910943510610235
0.1,100.0,1000.0,0.9907386233177973
0.01,10.0,0.001,0.9907128032700253
0.001,10.0,10000.0,0.990715403278647
0.1,100.0,0.01,0.99071807403371
0.001,10.0,10000.0,0.9907889523084316
