C,Epsilon,Omega,Kernel_alignment
0.0001,100.0,100.0,0.6602541384781975
0.0001,1000.0,10000.0,0.5305516460687689
0.1,10000.0,0.0001,0.6816961087343858
0.0001,100.0,1000.0,0.5952912905979292
0.0001,100.0,0.0001,0.6739425830784836
0.0001,1000.0,100.0,0.6337766023579489
0.0001,1000.0,1000.0,0.6614762246808756
0.0001,1000.0,100.0,0.6956878018998659
0.0001,100.0,100.0,0.6260349435860066
0.0001,100.0,0.0001,0.6799274464964787
