C,Epsilon,Omega,Kernel_alignment
0.0001,100.0,0.0001,0.8606501838980778
0.1,100.0,0.001,0.8689134280868941
0.0001,100.0,0.0001,0.8714424712922106
0.0001,100.0,10000.0,0.8697283038542457
0.0001,100.0,0.01,0.8624399004283918
0.0001,100.0,0.0001,0.8621553984159909
0.0001,100.0,0.01,0.8662676652385142
0.1,100.0,0.001,0.8537837650053712
0.1,100.0,0.0001,0.8591463661028423
0.0001,100.0,10000.0,0.868791768151488
