Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH31,Red_BBCH31,RedEdge_BBCH31,NIR_BBCH31,DVI_BBCH31,NDVI_BBCH31,RVI_BBCH31,mSR_BBCH31,TNDVI_BBCH31,RDVI_BBCH31,SAVI_BBCH31,OSAVI_BBCH31,MSAVI2_BBCH31,gDVI_BBCH31,gNDVI_BBCH31,gRDVI_BBCH31,mSR_G_BBCH31,GSAVI_BBCH31,MGSAVI_BBCH31,NGI_BBCH31,GWDRVI_BBCH31,CI_G_BBCH31,CI_RE_BBCH31,TCARI_BBCH31,MCARI1_BBCH31,MCARI2_BBCH31,MTCARI_BBCH31,TCARIOSAVI_BBCH31,REDVI_BBCH31,NDRE_BBCH31,RERDVI_BBCH31,NNIR_BBCH31,REGNDVI_BBCH31,REWDRVI_BBCH31,MSR_RE_BBCH31,MEVI_BBCH31,RESAVI_BBCH31,MRESAVI_BBCH31,MRETVI_BBCH31,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
0.878,1.0,0.184,0.151,0.189,0.386,0.273,0.289,0.409,0.185,0.166,0.188,0.177,0.113,0.245,0.134,0.195,0.119,0.113,0.268,0.194,0.202,0.15,0.578,0.322,0.343,0.581,0.379,0.126,0.153,0.109,0.164,0.277,0.152,0.154,0.267,0.109,0.113,0.501,0.709,0.528,0.503,0.335,0.178,0.194,0.112,0.109,0.218,0.104,0.11,0.104,0.118,0.21,0.148,0.151,0.122,0.194,0.206,0.186,0.127,0.176,0.269,0.493,0.123,0.235,0.555,0.149,0.222,0.273,0.185,0.126,0.202,0.267,0.268,0.337,0.189,0.196,0.49,0.865,0.667,0.357,0.262,0.223,0.687,0.175,0.281,0.719,0.249,0.267,0.334,0.211,0.205,0.355,0.127,0.167,0.251,0.213,0.408,0.174,0.12,0.242,0.133,0.154,0.262,0.351,0.189,0.139,0.281,0.192,0.292,0.405,0.248,0.257,0.312,0.213,0.176,0.437,0.0
0.84,0.891,0.365,0.35,0.423,0.565,0.536,0.529,0.578,0.422,0.401,0.42,0.42,0.346,0.447,0.409,0.475,0.346,0.347,0.456,0.488,0.533,0.365,0.703,0.58,0.556,0.622,0.612,0.352,0.361,0.312,0.381,0.507,0.365,0.365,0.416,0.311,0.325,0.744,1.0,0.667,0.699,0.573,0.412,0.357,0.395,0.352,0.366,0.311,0.329,0.308,0.354,0.442,0.374,0.458,0.429,0.404,0.438,0.384,0.462,0.572,0.514,0.993,0.433,0.452,0.798,0.555,0.47,0.509,0.431,0.348,0.433,0.51,0.509,0.569,0.43,0.439,0.751,0.839,0.869,0.59,0.466,0.445,0.803,0.398,0.48,0.829,0.455,0.458,0.509,0.423,0.428,0.489,0.371,0.384,0.444,0.422,0.508,0.387,0.349,0.417,0.38,0.401,0.472,0.528,0.417,0.378,0.444,0.398,0.452,0.513,0.421,0.427,0.472,0.409,0.384,0.572,0.0
0.361,0.365,0.038,0.014,0.113,0.157,0.152,0.139,0.169,0.112,0.098,0.107,0.117,0.013,0.065,0.093,0.145,0.008,0.022,0.065,0.165,0.239,0.004,0.372,0.269,0.22,0.162,0.319,0.009,0.001,0.0,0.015,0.141,0.003,0.003,0.012,0.0,0.0,0.409,0.733,0.334,0.443,0.24,0.076,0.0,0.123,0.031,0.0,0.0,0.001,0.0,0.025,0.109,0.0,0.13,0.036,0.048,0.099,0.0,0.077,0.232,0.223,1.0,0.136,0.088,0.425,0.244,0.143,0.198,0.098,0.0,0.0,0.206,0.203,0.178,0.095,0.104,0.346,0.444,0.438,0.357,0.143,0.093,0.312,0.0,0.017,0.371,0.077,0.079,0.109,0.047,0.084,0.07,0.031,0.023,0.071,0.062,0.084,0.022,0.008,0.009,0.001,0.017,0.063,0.129,0.023,0.013,0.028,0.01,0.021,0.133,0.011,0.015,0.064,0.015,0.003,0.176,0.0
0.242,0.233,0.014,0.014,0.06,0.122,0.102,0.097,0.133,0.072,0.06,0.07,0.069,0.018,0.057,0.081,0.133,0.018,0.021,0.058,0.151,0.225,0.015,0.368,0.137,0.125,0.039,0.353,0.016,0.014,0.013,0.02,0.132,0.015,0.015,0.013,0.013,0.014,0.467,0.685,0.253,0.279,0.125,0.028,0.017,0.077,0.021,0.016,0.016,0.016,0.015,0.018,0.067,0.018,0.109,0.054,0.023,0.062,0.017,0.09,0.22,0.141,1.0,0.084,0.019,0.389,0.213,0.076,0.139,0.049,0.019,0.021,0.138,0.138,0.122,0.045,0.05,0.339,0.287,0.405,0.487,0.172,0.109,0.32,0.012,0.016,0.362,0.09,0.097,0.12,0.064,0.101,0.079,0.048,0.038,0.092,0.083,0.072,0.038,0.02,0.012,0.015,0.019,0.071,0.074,0.017,0.018,0.013,0.016,0.025,0.11,0.012,0.012,0.017,0.016,0.016,0.023,0.0
0.228,0.494,0.001,0.001,0.003,0.132,0.046,0.052,0.177,0.017,0.004,0.021,0.004,0.002,0.021,0.023,0.048,0.002,0.002,0.023,0.054,0.077,0.001,0.346,0.032,0.038,0.017,0.258,0.001,0.001,0.001,0.002,0.055,0.001,0.001,0.001,0.001,0.001,0.55,0.585,0.13,0.295,0.066,0.007,0.002,0.005,0.002,0.002,0.001,0.002,0.002,0.002,0.024,0.002,0.035,0.01,0.004,0.022,0.002,0.027,0.088,0.048,1.0,0.013,0.005,0.466,0.069,0.03,0.071,0.016,0.002,0.002,0.05,0.055,0.076,0.015,0.018,0.314,0.489,0.535,0.442,0.083,0.042,0.48,0.001,0.017,0.625,0.051,0.089,0.166,0.03,0.033,0.052,0.003,0.008,0.038,0.029,0.061,0.01,0.002,0.001,0.001,0.007,0.046,0.044,0.006,0.002,0.004,0.002,0.025,0.072,0.001,0.001,0.014,0.002,0.002,0.021,0.0
0.04,0.053,0.0,0.0,0.0,0.031,0.017,0.02,0.033,0.001,0.0,0.001,0.0,0.0,0.006,0.01,0.037,0.0,0.0,0.008,0.043,0.064,0.0,0.174,0.003,0.003,0.0,0.204,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.566,0.61,0.057,0.033,0.014,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.023,0.015,0.0,0.002,0.0,0.03,0.083,0.021,1.0,0.001,0.0,0.343,0.064,0.002,0.024,0.001,0.0,0.0,0.021,0.022,0.034,0.001,0.001,0.309,0.045,0.528,0.518,0.036,0.029,0.313,0.0,0.0,0.526,0.032,0.035,0.063,0.019,0.022,0.019,0.001,0.0,0.02,0.016,0.013,0.001,0.0,0.0,0.0,0.001,0.025,0.011,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,1.0,0.048,0.01,0.066,0.324,0.155,0.187,0.361,0.087,0.059,0.095,0.062,0.003,0.146,0.035,0.107,0.013,0.005,0.167,0.105,0.117,0.027,0.488,0.195,0.227,0.422,0.322,0.004,0.03,0.003,0.064,0.184,0.029,0.031,0.104,0.003,0.003,0.477,0.71,0.517,0.529,0.274,0.087,0.087,0.003,0.004,0.11,0.003,0.008,0.003,0.017,0.119,0.006,0.066,0.004,0.104,0.119,0.019,0.011,0.088,0.185,0.544,0.006,0.156,0.521,0.053,0.135,0.195,0.093,0.02,0.035,0.183,0.186,0.244,0.1,0.107,0.4,0.895,0.616,0.341,0.162,0.109,0.654,0.013,0.137,0.702,0.147,0.169,0.253,0.098,0.088,0.257,0.004,0.053,0.138,0.095,0.349,0.059,0.003,0.077,0.005,0.05,0.147,0.228,0.089,0.005,0.124,0.045,0.152,0.366,0.085,0.095,0.155,0.065,0.029,0.339,0.0
0.921,1.0,0.274,0.2,0.154,0.134,0.151,0.123,0.15,0.087,0.102,0.076,0.13,0.047,0.116,0.031,0.063,0.032,0.03,0.139,0.057,0.056,0.059,0.414,0.525,0.264,0.965,0.205,0.113,0.059,0.052,0.061,0.128,0.06,0.06,0.257,0.058,0.075,0.27,0.757,0.378,0.514,0.178,0.094,0.086,0.043,0.031,0.112,0.034,0.051,0.025,0.061,0.126,0.105,0.061,0.015,0.196,0.138,0.153,0.015,0.017,0.42,0.387,0.06,0.222,0.287,0.038,0.164,0.249,0.131,0.087,0.123,0.302,0.272,0.225,0.135,0.136,0.209,0.95,0.363,0.164,0.107,0.062,0.187,0.139,0.102,0.225,0.045,0.054,0.072,0.037,0.054,0.098,0.025,0.035,0.06,0.048,0.194,0.034,0.021,0.296,0.114,0.058,0.041,0.388,0.085,0.088,0.176,0.102,0.058,0.273,0.216,0.204,0.201,0.104,0.091,0.685,0.0
0.674,0.845,0.019,0.003,0.008,0.004,0.006,0.002,0.007,0.002,0.002,0.002,0.004,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.003,0.0,0.059,0.716,0.026,0.464,0.013,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.123,0.583,0.048,0.813,0.01,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.023,0.0,0.001,0.0,0.002,0.003,0.0,0.0,0.001,0.501,0.926,0.004,0.005,0.186,0.001,0.089,0.012,0.003,0.0,0.001,0.048,0.017,0.006,0.004,0.006,0.008,1.0,0.385,0.006,0.039,0.001,0.016,0.001,0.001,0.299,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.005,0.001,0.0,0.0,0.333,0.001,0.001,0.002,0.001,0.001,0.003,0.002,0.002,0.013,0.001,0.001,0.426,0.0
0.828,1.0,0.035,0.008,0.078,0.364,0.188,0.227,0.394,0.104,0.068,0.113,0.075,0.008,0.149,0.068,0.153,0.014,0.01,0.17,0.161,0.201,0.012,0.58,0.225,0.245,0.392,0.4,0.008,0.012,0.007,0.05,0.227,0.012,0.013,0.055,0.007,0.007,0.615,0.828,0.518,0.588,0.344,0.106,0.066,0.017,0.009,0.084,0.007,0.009,0.007,0.02,0.146,0.008,0.114,0.017,0.11,0.146,0.008,0.052,0.194,0.239,0.785,0.036,0.195,0.648,0.14,0.179,0.249,0.129,0.008,0.012,0.238,0.24,0.322,0.132,0.143,0.536,0.932,0.752,0.444,0.178,0.129,0.758,0.008,0.129,0.804,0.178,0.196,0.295,0.111,0.101,0.286,0.008,0.048,0.157,0.106,0.358,0.057,0.008,0.046,0.008,0.035,0.179,0.249,0.071,0.008,0.124,0.03,0.162,0.397,0.062,0.078,0.164,0.054,0.013,0.337,0.0
