Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Whole_set
0.814,1.0,0.303,0.289,0.303,0.347,0.343,0.333,0.562,0.291,0.287,0.286,0.299,0.277,0.316,0.291,0.311,0.275,0.275,0.319,0.313,0.338,0.33,0.399,0.37,0.463,0.659,0.415,0.285,0.31,0.264,0.3,0.325,0.296,0.325,0.331,0.263,0.27,0.681,0.0
0.797,1.0,0.285,0.275,0.298,0.349,0.357,0.345,0.59,0.289,0.282,0.285,0.295,0.273,0.316,0.305,0.332,0.273,0.275,0.318,0.339,0.515,0.329,0.414,0.393,0.588,0.573,0.461,0.272,0.297,0.247,0.295,0.34,0.297,0.317,0.31,0.246,0.254,0.951,0.0
0.493,0.654,0.055,0.023,0.027,0.04,0.044,0.037,0.158,0.023,0.022,0.022,0.026,0.02,0.031,0.034,0.044,0.019,0.021,0.031,0.048,0.75,0.1,0.268,0.394,0.414,0.28,0.342,0.017,0.023,0.007,0.023,0.045,0.041,0.039,0.027,0.007,0.01,1.0,0.0
0.274,0.399,0.024,0.021,0.03,0.039,0.04,0.035,0.141,0.028,0.027,0.027,0.03,0.025,0.033,0.036,0.043,0.025,0.026,0.033,0.049,0.479,0.025,0.387,0.093,0.342,0.04,0.451,0.021,0.023,0.015,0.028,0.043,0.024,0.024,0.021,0.015,0.017,1.0,0.0
0.341,0.602,0.001,0.0,0.0,0.037,0.007,0.012,0.33,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.017,0.219,0.009,0.296,0.009,0.209,0.025,0.298,0.0,0.001,0.0,0.0,0.0,0.005,0.003,0.0,0.0,0.0,1.0,0.0
0.012,0.266,0.0,0.0,0.0,0.005,0.003,0.002,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.166,0.0,0.35,0.0,0.008,0.0,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.648,1.0,0.076,0.066,0.071,0.091,0.082,0.08,0.476,0.07,0.068,0.069,0.071,0.066,0.076,0.071,0.077,0.066,0.066,0.077,0.079,0.152,0.11,0.098,0.096,0.323,0.422,0.258,0.066,0.093,0.061,0.072,0.08,0.09,0.122,0.076,0.061,0.063,0.694,0.0
0.813,1.0,0.382,0.203,0.011,0.082,0.138,0.036,0.117,0.006,0.006,0.005,0.007,0.01,0.118,0.028,0.02,0.02,0.012,0.136,0.025,0.111,0.104,0.139,0.409,0.203,0.926,0.21,0.01,0.098,0.005,0.027,0.1,0.106,0.109,0.191,0.005,0.006,0.466,0.0
0.774,1.0,0.448,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539,0.075,0.0,0.784,0.044,0.759,0.025,0.0,0.008,0.0,0.0,0.0,0.026,0.12,0.0,0.0,0.0,0.691,0.0
0.8,1.0,0.223,0.163,0.162,0.332,0.279,0.283,0.476,0.156,0.141,0.158,0.152,0.139,0.234,0.189,0.248,0.15,0.147,0.246,0.257,0.343,0.211,0.465,0.284,0.359,0.557,0.453,0.118,0.187,0.082,0.186,0.29,0.191,0.199,0.22,0.082,0.093,0.74,0.0
