Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
0.869,1.0,0.151,0.104,0.123,0.309,0.2,0.211,0.333,0.106,0.09,0.108,0.106,0.055,0.212,0.11,0.179,0.073,0.063,0.237,0.182,0.206,0.111,0.557,0.265,0.298,0.58,0.335,0.063,0.112,0.015,0.116,0.264,0.112,0.114,0.213,0.017,0.03,0.548,0.888,0.755,0.396,0.231,0.174,0.614,0.097,0.196,0.648,0.174,0.196,0.244,0.139,0.156,0.263,0.046,0.077,0.187,0.151,0.326,0.084,0.01,0.175,0.029,0.064,0.176,0.313,0.1,0.082,0.205,0.117,0.195,0.352,0.179,0.185,0.238,0.135,0.103,0.462,0.0
0.757,0.868,0.135,0.086,0.148,0.333,0.262,0.261,0.356,0.134,0.112,0.134,0.135,0.074,0.199,0.184,0.263,0.084,0.091,0.213,0.286,0.383,0.124,0.579,0.327,0.351,0.437,0.412,0.067,0.118,0.015,0.101,0.303,0.124,0.123,0.154,0.015,0.026,0.754,0.874,1.0,0.533,0.27,0.213,0.684,0.076,0.195,0.727,0.196,0.21,0.253,0.152,0.181,0.212,0.07,0.072,0.181,0.156,0.241,0.077,0.018,0.133,0.029,0.077,0.194,0.337,0.096,0.083,0.172,0.098,0.153,0.277,0.139,0.147,0.213,0.111,0.082,0.495,0.0
0.287,0.44,0.0,0.0,0.024,0.013,0.033,0.004,0.026,0.003,0.0,0.001,0.027,0.0,0.0,0.02,0.002,0.0,0.0,0.0,0.056,0.663,0.0,0.511,0.555,0.271,0.023,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843,0.668,1.0,0.929,0.302,0.083,0.124,0.0,0.0,0.505,0.01,0.001,0.012,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0
0.046,0.162,0.001,0.0,0.004,0.007,0.007,0.005,0.013,0.005,0.004,0.004,0.005,0.002,0.005,0.007,0.009,0.002,0.003,0.005,0.018,0.36,0.001,0.491,0.183,0.061,0.005,0.176,0.001,0.0,0.0,0.002,0.009,0.001,0.001,0.0,0.0,0.0,0.873,0.245,0.795,1.0,0.182,0.051,0.045,0.0,0.0,0.589,0.008,0.007,0.021,0.003,0.008,0.004,0.003,0.002,0.005,0.005,0.004,0.002,0.002,0.0,0.0,0.002,0.004,0.024,0.002,0.003,0.001,0.002,0.001,0.008,0.0,0.0,0.002,0.002,0.002,0.006,0.0
0.299,0.554,0.005,0.0,0.017,0.127,0.046,0.049,0.203,0.024,0.016,0.025,0.018,0.013,0.037,0.04,0.062,0.014,0.017,0.039,0.069,0.292,0.006,0.52,0.048,0.054,0.041,0.249,0.0,0.004,0.0,0.015,0.068,0.006,0.005,0.001,0.0,0.0,0.994,0.554,1.0,0.805,0.176,0.082,0.425,0.0,0.024,0.786,0.065,0.084,0.181,0.032,0.041,0.042,0.014,0.014,0.04,0.034,0.049,0.015,0.001,0.001,0.0,0.016,0.042,0.087,0.016,0.008,0.014,0.009,0.022,0.074,0.003,0.005,0.023,0.012,0.006,0.051,0.0
0.014,0.086,0.0,0.0,0.001,0.011,0.008,0.008,0.016,0.002,0.001,0.003,0.002,0.002,0.006,0.007,0.014,0.001,0.002,0.007,0.016,0.291,0.0,0.348,0.004,0.004,0.001,0.234,0.0,0.0,0.0,0.001,0.015,0.0,0.0,0.0,0.0,0.0,1.0,0.048,0.948,0.879,0.057,0.028,0.373,0.0,0.002,0.513,0.046,0.048,0.076,0.006,0.007,0.006,0.003,0.003,0.006,0.006,0.006,0.003,0.001,0.0,0.0,0.002,0.007,0.006,0.002,0.001,0.0,0.0,0.002,0.011,0.0,0.0,0.001,0.001,0.0,0.003,0.0
0.639,1.0,0.006,0.004,0.006,0.172,0.01,0.011,0.249,0.006,0.005,0.006,0.005,0.003,0.011,0.006,0.01,0.004,0.003,0.012,0.013,0.132,0.004,0.283,0.115,0.164,0.278,0.156,0.002,0.004,0.0,0.006,0.014,0.004,0.005,0.008,0.0,0.0,0.575,0.908,0.69,0.377,0.171,0.035,0.477,0.003,0.008,0.584,0.015,0.072,0.133,0.006,0.008,0.053,0.002,0.004,0.009,0.007,0.21,0.004,0.0,0.006,0.002,0.004,0.008,0.257,0.006,0.003,0.008,0.005,0.008,0.211,0.006,0.007,0.013,0.005,0.004,0.275,0.0
0.801,1.0,0.273,0.079,0.05,0.017,0.038,0.017,0.025,0.012,0.014,0.011,0.023,0.012,0.06,0.014,0.017,0.011,0.01,0.078,0.017,0.058,0.025,0.166,0.651,0.117,0.935,0.095,0.021,0.019,0.009,0.014,0.042,0.024,0.026,0.068,0.01,0.012,0.361,0.983,0.48,0.314,0.242,0.04,0.031,0.029,0.015,0.053,0.01,0.011,0.01,0.01,0.016,0.012,0.009,0.007,0.012,0.012,0.048,0.007,0.007,0.266,0.041,0.011,0.008,0.514,0.013,0.053,0.032,0.018,0.009,0.15,0.095,0.076,0.058,0.017,0.017,0.689,0.0
0.704,0.877,0.197,0.036,0.086,0.004,0.066,0.0,0.02,0.0,0.0,0.0,0.037,0.0,0.0,0.039,0.002,0.0,0.0,0.0,0.04,0.358,0.009,0.221,0.755,0.236,0.595,0.047,0.001,0.001,0.0,0.0,0.0,0.007,0.006,0.002,0.0,0.0,0.519,1.0,0.833,0.39,0.291,0.077,0.092,0.0,0.0,0.213,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.544,0.0,0.026,0.001,0.0,0.0,0.024,0.047,0.03,0.042,0.0,0.0,0.649,0.0
0.641,1.0,0.003,0.002,0.003,0.179,0.006,0.006,0.267,0.003,0.003,0.003,0.003,0.002,0.005,0.004,0.006,0.002,0.002,0.006,0.009,0.229,0.002,0.385,0.117,0.133,0.176,0.159,0.001,0.002,0.0,0.003,0.008,0.002,0.002,0.003,0.0,0.0,0.789,0.987,0.894,0.527,0.18,0.029,0.544,0.0,0.004,0.703,0.01,0.066,0.149,0.003,0.004,0.026,0.001,0.002,0.005,0.004,0.176,0.002,0.0,0.003,0.0,0.002,0.005,0.235,0.002,0.001,0.004,0.002,0.004,0.172,0.003,0.003,0.006,0.002,0.001,0.212,0.0
