Rold,Rnew,RMSE,CVrmse,MAE
-0.07742733394836598,0.4162761275870359,99.07565852312727,51.137371401673725,81.46038266065608
-0.12832067156938498,0.5219433903514014,57.8122956256465,42.5937130137783,48.32302061146022
-0.056647748506118534,-0.632907556637966,91.25297086351944,65.90751436312766,71.66020776620005
-0.13471554486459802,0.15036843937458122,91.21630405362748,51.723330241712304,74.75137503470765
-0.3644951312557194,0.41390242355480567,67.60984449681186,38.10221723633044,54.70584346154071
-0.9122975995218361,-4.978282493439755,104.30206460593537,82.98772893201445,86.92337019084238
-0.25081054512925194,0.43160394835642346,89.5916148994226,45.09693274777872,79.77981275481685
-0.07712471319008407,-0.12076898831158744,83.77016849876907,52.33809130098961,57.04308917063214
-0.000796296480568337,0.3816498172407805,83.21311890335463,50.18570914880494,68.80844821835834
-0.055061592281947735,-0.0105791516974858,125.04182384675481,67.59361775966931,104.26598486782322
