Rold,Rnew,RMSE,CVrmse,MAE
0.2878936545008788,0.32877465421870733,1.0144734571497565,-261.51145801193627,0.9255573511640919
0.39979905557426454,0.5052347066815746,0.6749483168906439,-144.0542025931392,0.5239818604308786
0.2897099975000407,0.48675289226906626,0.7839560603391755,-505.6105609257058,0.6943582547813607
0.41926810669836545,0.5706130077538394,0.5831114713578901,-396.4322884052374,0.40949583979589976
0.21113251417119272,0.3302227028044775,0.7168769321049717,-213.2440041287992,0.5887139905350768
0.66954919026348,0.5244749638390589,0.6470981087016174,-392.17280325738415,0.5561673629591563
0.6025802047132593,0.6509983892994817,0.5533881880929123,5451.569856535368,0.44822691606419834
0.42418825722683784,0.6069798999165161,0.4080291872302085,426.19468212362347,0.3520167916963327
0.6880031429612641,0.8585391373593093,0.24323497627993151,286.8654852902488,0.18635658632245317
0.39776963847818936,0.44862344269642107,0.8347885941137901,183.46877157079004,0.5183731108727703
