C,Omega,Epsilon,Kernel_alignment
0.001,10.0,0.0001,0.9525817289487856
0.1,100.0,10000.0,0.9531627404585337
0.0001,10.0,0.1,0.9530824325470126
0.001,10.0,1000.0,0.9540855475030923
0.01,1.0,10000.0,0.9523282578268305
0.1,10.0,0.1,0.9496932624528629
0.01,10000.0,0.1,0.9480624242149146
0.001,10.0,0.001,0.9485083284713837
0.0001,1.0,0.1,0.9484349605339727
0.0001,10000.0,0.01,0.9490879963787756
0.001,1.0,0.001,0.9495473578250092
0.1,100.0,100.0,0.9503852388086294
0.001,100.0,0.01,0.950959918543219
0.0001,10000.0,0.0001,0.9503925086094952
0.0001,1.0,0.01,0.9499247455417081
0.01,100.0,0.01,0.9483206920437697
0.001,1.0,0.0001,0.9478677432009611
0.0001,10.0,10000.0,0.9479602327642189
0.01,10.0,100.0,0.9477397807660018
0.001,1.0,100.0,0.9477675698700887
0.1,1.0,0.001,0.9496861203637905
0.001,1.0,1.0,0.9502848194939956
0.001,10.0,1.0,0.9504914987275767
0.01,10.0,10000.0,0.9496103444728642
0.1,10.0,10.0,0.949990863451372
0.0001,1.0,1.0,0.9480890354738178
0.1,10000.0,0.001,0.9477745493145172
0.0001,10.0,0.1,0.9478206559838652
0.0001,10.0,1000.0,0.94809044471581
0.1,10000.0,10000.0,0.9484080124975497
0.1,10.0,0.01,0.94879930502027
0.01,10.0,0.0001,0.9477312919745261
0.0001,1.0,10000.0,0.9489900815612613
0.1,10.0,1.0,0.947831913301108
0.001,10.0,10000.0,0.9476131093799057
0.001,1.0,10000.0,0.9504597967945343
0.001,10.0,0.0001,0.9484762373098385
0.0001,10.0,0.1,0.9527143987014299
0.0001,1.0,1000.0,0.9487992060079752
0.0001,10.0,0.001,0.9478194666153892
