C,Omega,Epsilon,Kernel_alignment
0.1,100.0,1000.0,0.8757115258052516
0.0001,10000.0,1.0,0.8752907415614662
0.01,100.0,0.01,0.8741489198634164
0.0001,10000.0,100.0,0.8755919610671599
0.1,100.0,0.0001,0.8740902269999139
0.0001,100.0,10.0,0.867907035297592
0.1,1000.0,0.001,0.8686972278617289
0.001,10000.0,1000.0,0.8702793116467004
0.0001,100.0,1.0,0.8725130193631226
0.0001,1000.0,10000.0,0.8723833930775907
0.0001,100.0,0.0001,0.8666593699403626
0.01,100.0,0.1,0.8676989465729975
0.001,100.0,0.0001,0.8657561107595935
0.001,10000.0,0.01,0.8659753998047441
0.1,100.0,100.0,0.867045570763554
0.001,100.0,10000.0,0.8662671028140569
0.001,1000.0,1.0,0.8656893818295601
0.01,100.0,10000.0,0.8631715056363494
0.1,1000.0,10000.0,0.8631176145371613
0.0001,100.0,100.0,0.8648892471010873
0.0001,100.0,0.001,0.8643550933393803
0.1,100.0,0.0001,0.8664025869992138
0.001,1000.0,10000.0,0.8645606768345332
0.01,10000.0,0.0001,0.8644882354244139
0.1,1000.0,100.0,0.86515284611858
0.01,100.0,100.0,0.861853729224798
0.001,10000.0,0.01,0.8610873765225289
0.0001,1000.0,0.0001,0.8642173216291895
0.0001,100.0,0.01,0.8633033467291713
0.01,100.0,0.001,0.8625323576930441
0.01,100.0,0.01,0.8618183270387284
0.1,1000.0,1.0,0.867978046731604
0.01,10000.0,0.0001,0.8648140682921853
0.0001,100.0,0.001,0.8670843594928418
0.001,10000.0,1000.0,0.863091203122533
0.0001,1000.0,0.0001,0.8678870127313666
0.1,10000.0,0.0001,0.8651080244036579
0.001,1000.0,10.0,0.8650849632438866
0.001,1000.0,1000.0,0.8630903991255043
0.01,1000.0,10000.0,0.8631376788404889
