C,Omega,Epsilon,Kernel_alignment
0.001,0.1,1.0,0.8223424710688304
0.01,0.1,10.0,0.8232497084944358
0.001,1.0,100.0,0.8255017843313596
0.001,0.1,0.0001,0.826293665280215
0.0001,0.1,0.1,0.8258335218563171
0.001,0.1,0.1,0.822593748856864
0.01,0.1,100.0,0.8211106998618091
0.01,0.1,10000.0,0.8222167112762158
0.0001,1.0,0.0001,0.8233170768497295
0.001,0.1,0.0001,0.8215984255661514
0.0001,1.0,0.01,0.8207856527433852
0.01,0.1,0.001,0.8273837528577028
0.0001,0.1,10000.0,0.8205408644972795
0.001,0.1,1.0,0.822527210146615
0.0001,0.1,1.0,0.825727467376027
0.01,0.1,10000.0,0.8239826233071883
0.01,1.0,1.0,0.82213492221066
0.1,0.1,100.0,0.823522430039314
0.001,0.1,10.0,0.822685833857416
0.001,0.1,10.0,0.8219487723237747
0.01,0.1,10000.0,0.8242732429378317
0.0001,0.1,0.001,0.822885664522077
0.0001,0.1,1.0,0.8218476969456321
0.0001,0.1,1000.0,0.8265230189756794
0.0001,1.0,0.0001,0.8228741214330119
0.01,0.1,0.0001,0.8263703573403756
0.01,0.1,0.01,0.8221564875588198
0.001,0.1,10.0,0.823176450444233
0.001,1.0,100.0,0.8201502384648106
0.01,0.1,10.0,0.8232657865858095
0.01,0.1,1.0,0.8241318398240258
0.001,1000.0,100.0,0.8239289294211802
0.0001,0.1,100.0,0.8237839894421526
0.001,0.1,0.1,0.8218462148207888
0.1,1.0,100.0,0.8219563706737804
0.01,0.1,1000.0,0.8192705597798751
0.001,1.0,10.0,0.8236973633480297
0.001,0.1,1.0,0.8187763738180212
0.001,0.1,100.0,0.825238745814211
0.001,10000.0,1.0,0.8262041987097517
