C,Epsilon,Omega,Kernel_alignment
0.001,1000.0,10.0,0.9295582813290785
0.0001,100.0,0.1,0.9305536896528129
0.1,1000.0,10.0,0.9276979385571934
0.1,1000.0,10.0,0.9288472425372928
0.1,1000.0,100.0,0.9268616097493032
0.0001,10000.0,0.0001,0.929154820892787
0.01,100.0,10.0,0.9291752669166564
0.1,1000.0,1.0,0.9275376518104919
0.1,1000.0,100.0,0.9281824723036458
0.0001,1000.0,10.0,0.927565751033096
0.0001,1000.0,100.0,0.9265916809901041
0.1,100.0,10.0,0.9255548348591502
0.0001,1000.0,10.0,0.9224013179359485
0.0001,100.0,0.1,0.9223966728152592
0.0001,1000.0,1.0,0.9243353107848443
0.0001,10.0,10.0,0.9250969088801501
0.0001,1000.0,0.1,0.9232456553034918
0.1,1000.0,0.1,0.924018468788326
0.0001,1000.0,0.0001,0.9233206682237742
0.0001,1000.0,1.0,0.92469529651597
0.0001,100.0,0.1,0.9230588792621791
0.0001,100.0,100.0,0.9229766142509696
0.001,100.0,10.0,0.9222431827833362
0.0001,100.0,1.0,0.9238641170864816
0.001,1000.0,10.0,0.922497304260633
0.0001,10000.0,0.1,0.9230405971103632
0.0001,1000.0,0.1,0.9223330569605873
0.1,100.0,0.1,0.9226493166184327
0.0001,1000.0,10.0,0.9230300912272023
0.0001,1000.0,10.0,0.9224695992051369
0.1,1000.0,10.0,0.9226807609946627
0.0001,10.0,0.0001,0.927149244553228
0.1,100.0,0.001,0.9238424066503962
0.0001,10.0,0.0001,0.9285257277908804
0.1,100.0,10.0,0.9231527886389604
0.0001,100.0,10.0,0.9233880379644998
0.1,1000.0,10.0,0.9227033222270218
0.1,1000.0,10.0,0.9227701675489479
0.1,100.0,10.0,0.9223787480882515
0.1,1000.0,10.0,0.9226873621627313
