C,Omega,Epsilon,Kernel_alignment
0.001,10000.0,10.0,0.804219044666459
0.0001,10000.0,1.0,0.8037314679399965
0.001,10000.0,0.0001,0.8030618074189239
0.01,10.0,1000.0,0.8055731337341021
0.1,100.0,10000.0,0.8038989717417546
0.01,10000.0,10.0,0.8054479885219066
0.1,10.0,1000.0,0.8037176360250438
0.0001,10.0,0.1,0.805590943741515
0.1,10.0,1.0,0.8058494993387845
0.1,1000.0,1000.0,0.8017109469342766
0.0001,10000.0,1000.0,0.7982212408208136
0.0001,10.0,0.001,0.8009720542917824
0.1,10000.0,0.01,0.7968421722523851
0.01,100.0,0.0001,0.7976460964939932
0.1,10000.0,0.0001,0.8013237222163894
0.0001,10.0,0.0001,0.8017054173667484
0.001,100.0,100.0,0.8003673515411042
0.01,10.0,100.0,0.8026061337178144
0.01,1000.0,0.1,0.8008656351893666
0.001,10000.0,10.0,0.8011667058304651
0.01,100.0,0.001,0.7997400106480795
0.1,10000.0,100.0,0.8002555917821773
0.001,1000.0,100.0,0.7943343858040246
0.1,1000.0,0.01,0.8001635157582049
0.0001,10.0,100.0,0.7970814761907764
0.0001,10000.0,1000.0,0.7994339530888006
0.0001,100.0,0.1,0.7997163879371953
0.001,10000.0,100.0,0.8002501102726877
0.0001,10.0,0.0001,0.8012768796552535
0.01,100.0,0.1,0.8011520969555211
0.1,10.0,1.0,0.7982690268089191
0.0001,10.0,1000.0,0.8020552188007939
0.1,10.0,10.0,0.8099523009811742
0.1,10000.0,10000.0,0.8009700866073556
0.0001,10.0,0.1,0.7927551756941346
0.0001,100.0,1000.0,0.7966015098446847
0.0001,1000.0,0.001,0.7979702821897428
0.001,10.0,0.1,0.7968101878207678
0.01,10.0,10.0,0.7957086523196635
0.0001,10000.0,10000.0,0.7971955452385139
