C,Omega,Epsilon,Kernel_alignment
0.0001,10000.0,0.0001,0.8126173725485593
0.0001,10000.0,10.0,0.8127917683956025
0.1,10.0,0.0001,0.8123013761810941
0.0001,10.0,0.1,0.8150764179626017
0.1,1000.0,0.01,0.8127814644977494
0.1,10000.0,0.001,0.8136380912091988
0.001,10.0,0.001,0.8115564109531749
0.1,10.0,1000.0,0.8134284474823058
0.01,100.0,100.0,0.8128948522127286
0.1,10.0,100.0,0.8096662199589245
0.0001,10.0,0.001,0.8081995246961613
0.1,10.0,10000.0,0.8087139179152582
0.001,10000.0,0.01,0.8057614258584377
0.0001,10.0,1000.0,0.8064091911446708
0.01,1000.0,1000.0,0.8103232041743439
0.001,100.0,1.0,0.8101268012124637
0.0001,100.0,100.0,0.8099178625249677
0.1,1000.0,0.1,0.8123096251448088
0.01,10000.0,10.0,0.8099956040964587
0.0001,10.0,10000.0,0.8092323346760615
0.0001,1000.0,0.001,0.8078655567942368
0.1,10.0,0.0001,0.8083624086167697
0.1,1000.0,1.0,0.8035655234228619
0.001,10.0,0.1,0.8077427731592275
0.0001,10.0,1.0,0.8059801114465382
0.01,10.0,1000.0,0.8088767598946692
0.1,1000.0,0.0001,0.8086754115860112
0.001,10.0,10000.0,0.8102917789651904
0.001,10.0,10.0,0.8100939818283441
0.001,10.0,100.0,0.8094703814456926
0.001,100.0,0.01,0.8064699963141574
0.1,10.0,1000.0,0.813686745296522
0.01,10.0,1.0,0.8175480127726087
0.01,1000.0,10.0,0.8090699041989384
0.1,10.0,0.01,0.8024070545122408
0.0001,10.0,100.0,0.806668918613448
0.0001,10000.0,0.001,0.8090511794863195
0.0001,10000.0,0.01,0.8067832279596865
0.01,10000.0,0.001,0.805600126483379
0.01,1000.0,1000.0,0.8073530331068142
