Rold,Rnew,RMSE,CVrmse,MAE
0,0,0,0,0,[5.0940319]
0,0,0,0,0,[5.69060731]
0,0,0,0,0,[7.07018759]
0,0,0,0,0,[5.24213269]
0,0,0,0,0,[4.53214634]
0,0,0,0,0,[6.55058376]
0,0,0,0,0,[5.2158732]
0,0,0,0,0,[5.03422598]
0,0,0,0,0,[5.36463835]
0,0,0,0,0,[6.84974655]
0,0,0,0,0,[6.37263619]
0,0,0,0,0,[5.21406659]
0,0,0,0,0,[10.12498329]
0,0,0,0,0,[9.25700334]
0,0,0,0,0,[5.75701472]
0,0,0,0,0,[6.50693523]
0,0,0,0,0,[4.72285062]
0,0,0,0,0,[7.65228879]
0,0,0,0,0,[7.46021134]
0,0,0,0,0,[7.04997243]
0,0,0,0,0,[8.56926165]
0,0,0,0,0,[9.59336051]
0,0,0,0,0,[10.27946712]
0,0,0,0,0,[8.98555297]
0,0,0,0,0,[9.45998394]
0,0,0,0,0,[8.84751819]
0,0,0,0,0,[8.18807349]
0,0,0,0,0,[6.03130127]
0,0,0,0,0,[7.74231661]
0,0,0,0,0,[6.85819884]
0,0,0,0,0,[11.77549589]
0,0,0,0,0,[10.22137625]
0,0,0,0,0,[8.94027843]
0,0,0,0,0,[10.27415962]
0,0,0,0,0,[10.38783549]
0,0,0,0,0,[7.82931854]
0,0,0,0,0,[9.2436443]
0,0,0,0,0,[7.46442449]
0,0,0,0,0,[8.72830138]
0,0,0,0,0,[9.158696]
