C,Omega,Epsilon,Kernel_alignment
0.01,10.0,10.0,0.8259452877447403
0.001,10.0,0.001,0.8269480003241618
0.01,10.0,1.0,0.8290826171661039
0.0001,10.0,0.0001,0.830026614433701
0.1,10.0,10.0,0.8298026367286289
0.01,10.0,10.0,0.8259194033938001
0.001,10.0,1000.0,0.8248511209195493
0.0001,10.0,0.1,0.8253023911079606
0.001,10.0,0.001,0.8263135300609722
0.1,10.0,100.0,0.8251353677179942
0.0001,10.0,0.0001,0.8246558420590042
0.1,10.0,0.001,0.8294895858958179
0.01,10.0,1.0,0.8236711993413394
0.001,10.0,0.001,0.8257719169930273
0.001,1.0,10.0,0.8290475813870132
0.01,10.0,0.1,0.825807783549983
0.001,10.0,0.1,0.826213543159098
0.0001,10.0,0.001,0.8274986867152512
0.001,10.0,0.1,0.8265201491546401
0.001,10.0,1.0,0.8237028277029758
0.001,1.0,100.0,0.828410442675011
0.001,10.0,0.1,0.8263901459347552
0.01,10.0,10.0,0.8246140475131252
0.01,1.0,0.01,0.8302257518752058
0.1,10.0,0.01,0.8264663364495204
0.1,10.0,100.0,0.8300363669115356
0.001,10.0,0.1,0.8265444144209263
0.0001,10.0,100.0,0.8269486263113314
0.1,10.0,10000.0,0.8248512647583829
0.0001,10.0,0.0001,0.8277953103169654
0.0001,1.0,0.001,0.8270895745814293
0.1,10.0,10000.0,0.8274478013039595
0.01,10.0,10.0,0.8288949909968354
0.01,10.0,0.0001,0.8246804725705607
0.1,1.0,10000.0,0.8258448124182541
0.1,10.0,0.001,0.8228492674430445
0.001,10.0,1000.0,0.8263721917559597
0.1,10.0,100.0,0.8249446796529382
0.0001,10.0,1.0,0.8285143829836591
0.01,10.0,0.001,0.8288786985549677
