C,Omega,Epsilon,Kernel_alignment
0.0001,1000.0,0.001,0.95109049324863
0.1,10000.0,1000.0,0.9523514736131301
0.001,10.0,1000.0,0.95062022637128
0.1,10000.0,0.0001,0.9520129570373037
0.0001,1000.0,0.1,0.9503784825786856
0.0001,1.0,0.0001,0.9481244295866069
0.01,1.0,10.0,0.945619415277623
0.001,10.0,0.01,0.9457808271914776
0.001,1.0,10.0,0.9456675275639848
0.01,100.0,0.01,0.9464019644624533
0.01,10.0,100.0,0.9470157983972061
0.001,10000.0,10000.0,0.9475992295672685
0.001,1.0,100.0,0.9484962735120402
0.001,1.0,0.001,0.9479566646631664
0.01,100.0,1000.0,0.9477767600182679
0.01,1.0,0.0001,0.9464187276756659
0.01,1000.0,0.0001,0.9453107386771431
0.1,10000.0,0.001,0.9458013794197158
0.0001,100.0,0.1,0.9455282188288251
0.1,10.0,0.0001,0.9460326063942844
0.01,1000.0,1000.0,0.9475326316423762
0.1,10.0,0.1,0.9479465176927533
0.0001,10.0,1.0,0.9480811248284055
0.01,1.0,10.0,0.9476944529982065
0.001,10.0,100.0,0.9474082549189198
0.001,10.0,100.0,0.9463522844412552
0.0001,100.0,0.01,0.9456572447821492
0.1,10.0,100.0,0.9457021579721617
0.01,10.0,0.1,0.9460240500798132
0.0001,10.0,100.0,0.946374526883572
0.1,1.0,10000.0,0.9472125703874757
0.001,1.0,1.0,0.9457278430246452
0.0001,10.0,100.0,0.9472802156030263
0.1,1000.0,0.001,0.9458483970552786
0.1,100.0,10000.0,0.9456801933450945
0.01,1000.0,10.0,0.948115817035299
0.0001,10000.0,0.1,0.9456217249682692
0.001,10000.0,10000.0,0.9507234377119503
0.001,100.0,1000.0,0.9463009540111417
0.1,10.0,10000.0,0.9455456727876401
