C,Omega,Epsilon,Kernel_alignment
0.1,1000.0,1000.0,0.9093608867673396
0.001,1000.0,1.0,0.9076528602180051
0.001,10000.0,1000.0,0.9054083909087848
0.001,10.0,0.001,0.9070511849363756
0.01,100.0,0.1,0.907855695095379
0.0001,10000.0,100.0,0.905812631469245
0.001,1000.0,10000.0,0.9070741949133369
0.1,1000.0,100.0,0.9076976146167461
0.001,100.0,100.0,0.9103776114904683
0.0001,100.0,0.01,0.9108487549739254
0.001,10000.0,1000.0,0.9020097805513436
0.0001,1000.0,0.01,0.9030548916048072
0.01,10.0,10000.0,0.9008279070155233
0.01,1000.0,100.0,0.9008764046938617
0.0001,1000.0,1.0,0.9026684341132977
0.001,10000.0,10000.0,0.903204853268941
0.0001,1000.0,1000.0,0.9034428619850253
0.01,10000.0,0.01,0.9027997035738712
0.1,10000.0,0.0001,0.9026548696716787
0.001,100.0,1.0,0.9030694573010529
0.01,100.0,0.001,0.9020282998273672
0.1,1000.0,0.001,0.9017580347744976
0.01,1000.0,1.0,0.9009605007559395
0.0001,100.0,0.1,0.9022110593340535
0.001,100.0,0.1,0.9011056924835721
0.0001,10.0,0.001,0.9013225726083666
0.01,10000.0,0.1,0.9010178651404187
0.1,10000.0,1.0,0.9031999752372698
0.1,10.0,0.001,0.9027709084863128
0.01,10000.0,0.1,0.9024958882731614
0.1,100.0,1000.0,0.9026381820613575
0.001,1000.0,10.0,0.9091098890171424
0.1,1000.0,1000.0,0.9053592452179055
0.1,10.0,0.001,0.9071576210289238
0.0001,100.0,0.001,0.9050093579229671
0.1,100.0,0.01,0.901656848300018
0.1,100.0,100.0,0.9018713327244562
0.01,100.0,0.01,0.9008090832564802
0.0001,10.0,10.0,0.9009181324873278
0.001,10000.0,10.0,0.901871188115889
