C,Omega,Epsilon,Kernel_alignment
0.001,1000.0,0.001,0.9836427846489123
0.0001,1000.0,0.001,0.9834421919745296
0.01,100.0,0.001,0.9830555299193434
0.01,100.0,1000.0,0.9834982145882237
0.0001,100.0,0.001,0.9832356966168497
0.1,10000.0,0.01,0.983496516759192
0.1,100.0,1000.0,0.9834553622566337
0.01,1000.0,1.0,0.9835200630636223
0.01,10000.0,0.0001,0.9834391504074501
0.0001,10000.0,0.01,0.9831734483182745
0.0001,1000.0,1000.0,0.9820381852054146
0.1,10000.0,1.0,0.9826227926227907
0.01,1000.0,0.1,0.9819801087991528
0.001,1000.0,0.001,0.9819722378980844
0.01,100.0,100.0,0.9824844794065005
0.01,1000.0,10000.0,0.9824191040280911
0.0001,10000.0,0.1,0.9821383689263703
0.01,1000.0,0.01,0.9821367127397993
0.001,10000.0,1000.0,0.9820770551971573
0.001,10000.0,1.0,0.9823659699558864
0.1,10000.0,10.0,0.9822298844009335
0.01,1000.0,1.0,0.9821430808072605
0.0001,1000.0,1000.0,0.9820238708574291
0.01,100.0,1000.0,0.9822989081645708
0.1,100.0,1.0,0.9820498065912279
0.001,100.0,1000.0,0.9820999654655755
0.1,1000.0,0.01,0.9819525567178421
0.001,10000.0,1.0,0.9820014910885234
0.01,10000.0,1000.0,0.9819662222044785
0.1,1000.0,0.1,0.9819842941171059
0.01,1000.0,0.1,0.9822580068062408
0.0001,1000.0,10000.0,0.9825726577925001
0.1,10000.0,1000.0,0.9825007398228081
0.01,10000.0,1000.0,0.9826342553427394
0.001,10000.0,1.0,0.9824697908009096
0.0001,10000.0,10000.0,0.9825107777761417
0.0001,1000.0,0.0001,0.9825015803368425
0.0001,1000.0,1.0,0.9821048747745432
0.1,100.0,1000.0,0.9822854116604505
0.1,100.0,1000.0,0.9825205185840377
